,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
6716,2012-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.2,Female
6936,2012-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.1,Male
6940,2012-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,45.1,Female
7160,2012-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.7,Male
7164,2012-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,44.1,Female
7384,2012-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.4,Male
7388,2012-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,43.0,Female
7608,2013-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.1,Male
7612,2013-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.3,Female
7832,2013-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.8,Male
7836,2013-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,44.2,Female
8056,2013-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.6,Male
8060,2013-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.9,Female
8280,2013-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.1,Male
8284,2013-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,43.4,Female
8504,2014-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.2,Male
8508,2014-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,43.2,Female
8728,2014-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.2,Male
8732,2014-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.6,Female
8952,2014-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.9,Male
8956,2014-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.6,Female
9176,2014-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.9,Male
9180,2014-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,43.3,Female
9400,2015-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.4,Male
9404,2015-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.6,Female
9624,2015-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.7,Male
9628,2015-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.4,Female
9848,2015-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.1,Male
9852,2015-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.7,Female
10072,2015-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.1,Male
10076,2015-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.8,Female
10296,2016-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.1,Male
10300,2016-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.7,Female
10520,2016-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.4,Male
10524,2016-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.9,Female
10744,2016-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.0,Male
10748,2016-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.0,Female
10968,2016-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.2,Male
10972,2016-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.9,Female
11192,2017-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.2,Male
11196,2017-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.9,Female
11416,2017-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,26.9,Male
11420,2017-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,43.0,Female
11640,2017-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.1,Male
11644,2017-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.2,Female
11864,2017-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.3,Male
11868,2017-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.0,Female
12088,2018-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.6,Male
12092,2018-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.4,Female
12312,2018-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.8,Male
12316,2018-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.0,Female
12536,2018-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.5,Male
12540,2018-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.3,Female
12760,2018-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.5,Male
12764,2018-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.7,Female
12984,2019-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.6,Male
12988,2019-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.3,Female
13208,2019-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.5,Male
13212,2019-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.3,Female
13432,2019-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.4,Male
13436,2019-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,39.6,Female
13656,2019-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.4,Male
13660,2019-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,38.3,Female
13880,2020-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.2,Male
13884,2020-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,39.3,Female
14104,2020-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.5,Male
14108,2020-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,40.3,Female
14328,2020-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.2,Male
14332,2020-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,41.8,Female
14552,2020-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.8,Male
14556,2020-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.5,Female
14776,2021-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,32.9,Male
14780,2021-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,42.1,Female
15000,2021-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.4,Male
15004,2021-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,39.6,Female
15224,2021-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.9,Male
15228,2021-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,36.9,Female
15448,2021-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.0,Male
15452,2021-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,38.1,Female
15672,2022-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.5,Male
15676,2022-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,36.7,Female
15896,2022-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.3,Male
15900,2022-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,37.3,Female
16120,2022-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.4,Male
16124,2022-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,38.5,Female
16344,2022-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,28.1,Male
16348,2022-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,37.4,Female
16568,2023-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,27.5,Male
16572,2023-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,38.7,Female
