,DATE,Location,var,type,obs
1588,2015-12,Scotland,Inactivity Rate,Variable,0.78
1608,2015-12,Scotland,Inactivity Rate,Variable,0.78
1624,2016-03,Scotland,Inactivity Rate,Variable,0.77
1644,2016-03,Scotland,Inactivity Rate,Variable,0.77
1660,2016-06,Scotland,Inactivity Rate,Variable,0.77
1680,2016-06,Scotland,Inactivity Rate,Variable,0.77
1696,2016-09,Scotland,Inactivity Rate,Variable,0.77
1716,2016-09,Scotland,Inactivity Rate,Variable,0.77
1732,2016-12,Scotland,Inactivity Rate,Variable,0.77
1752,2016-12,Scotland,Inactivity Rate,Variable,0.77
1768,2017-03,Scotland,Inactivity Rate,Variable,0.77
1788,2017-03,Scotland,Inactivity Rate,Variable,0.77
1804,2017-06,Scotland,Inactivity Rate,Variable,0.77
1824,2017-06,Scotland,Inactivity Rate,Variable,0.77
1840,2017-09,Scotland,Inactivity Rate,Variable,0.77
1860,2017-09,Scotland,Inactivity Rate,Variable,0.77
1876,2017-12,Scotland,Inactivity Rate,Variable,0.77
1896,2017-12,Scotland,Inactivity Rate,Variable,0.77
1912,2018-03,Scotland,Inactivity Rate,Variable,0.78
1932,2018-03,Scotland,Inactivity Rate,Variable,0.78
1948,2018-06,Scotland,Inactivity Rate,Variable,0.78
1968,2018-06,Scotland,Inactivity Rate,Variable,0.78
1984,2018-09,Scotland,Inactivity Rate,Variable,0.78
2004,2018-09,Scotland,Inactivity Rate,Variable,0.78
2020,2018-12,Scotland,Inactivity Rate,Variable,0.77
2040,2018-12,Scotland,Inactivity Rate,Variable,0.77
2056,2019-03,Scotland,Inactivity Rate,Variable,0.78
2076,2019-03,Scotland,Inactivity Rate,Variable,0.78
2092,2019-06,Scotland,Inactivity Rate,Variable,0.78
2112,2019-06,Scotland,Inactivity Rate,Variable,0.78
2128,2019-09,Scotland,Inactivity Rate,Variable,0.78
2148,2019-09,Scotland,Inactivity Rate,Variable,0.78
2164,2019-12,Scotland,Inactivity Rate,Variable,0.78
2184,2019-12,Scotland,Inactivity Rate,Variable,0.78
2200,2020-03,Scotland,Inactivity Rate,Variable,0.77
2220,2020-03,Scotland,Inactivity Rate,Variable,0.77
2236,2020-06,Scotland,Inactivity Rate,Variable,0.77
2256,2020-06,Scotland,Inactivity Rate,Variable,0.77
2272,2020-09,Scotland,Inactivity Rate,Variable,0.77
2292,2020-09,Scotland,Inactivity Rate,Variable,0.77
2308,2020-12,Scotland,Inactivity Rate,Variable,0.77
2328,2020-12,Scotland,Inactivity Rate,Variable,0.77
2344,2021-03,Scotland,Inactivity Rate,Variable,0.76
2364,2021-03,Scotland,Inactivity Rate,Variable,0.76
2380,2021-06,Scotland,Inactivity Rate,Variable,0.76
2400,2021-06,Scotland,Inactivity Rate,Variable,0.76
2416,2021-09,Scotland,Inactivity Rate,Variable,0.76
2436,2021-09,Scotland,Inactivity Rate,Variable,0.76
2452,2021-12,Scotland,Inactivity Rate,Variable,0.76
2472,2021-12,Scotland,Inactivity Rate,Variable,0.76
2488,2022-03,Scotland,Inactivity Rate,Variable,0.76
2508,2022-03,Scotland,Inactivity Rate,Variable,0.76
2524,2022-06,Scotland,Inactivity Rate,Variable,0.77
2544,2022-06,Scotland,Inactivity Rate,Variable,0.77
2560,2022-09,Scotland,Inactivity Rate,Variable,0.77
2580,2022-09,Scotland,Inactivity Rate,Variable,0.77
2596,2022-12,Scotland,Inactivity Rate,Variable,0.77
2616,2022-12,Scotland,Inactivity Rate,Variable,0.77
2632,2023-03,Scotland,Inactivity Rate,Variable,0.77
2652,2023-03,Scotland,Inactivity Rate,Variable,0.77
