,Date,Val,Type,Series
262,2001 FEB,29.4,Aged 16-24,All
263,2001 MAR,29.4,Aged 16-24,All
264,2001 APR,29.4,Aged 16-24,All
265,2001 MAY,29.0,Aged 16-24,All
266,2001 JUN,29.2,Aged 16-24,All
267,2001 JUL,29.0,Aged 16-24,All
268,2001 AUG,29.2,Aged 16-24,All
269,2001 SEP,28.9,Aged 16-24,All
270,2001 OCT,28.6,Aged 16-24,All
271,2001 NOV,28.6,Aged 16-24,All
272,2001 DEC,28.9,Aged 16-24,All
273,2002 JAN,29.2,Aged 16-24,All
274,2002 FEB,29.2,Aged 16-24,All
275,2002 MAR,29.0,Aged 16-24,All
276,2002 APR,29.0,Aged 16-24,All
277,2002 MAY,29.4,Aged 16-24,All
278,2002 JUN,29.7,Aged 16-24,All
279,2002 JUL,29.5,Aged 16-24,All
280,2002 AUG,29.7,Aged 16-24,All
281,2002 SEP,29.4,Aged 16-24,All
282,2002 OCT,29.4,Aged 16-24,All
283,2002 NOV,29.3,Aged 16-24,All
284,2002 DEC,29.7,Aged 16-24,All
285,2003 JAN,29.7,Aged 16-24,All
286,2003 FEB,29.9,Aged 16-24,All
287,2003 MAR,30.0,Aged 16-24,All
288,2003 APR,30.1,Aged 16-24,All
289,2003 MAY,30.6,Aged 16-24,All
290,2003 JUN,30.3,Aged 16-24,All
291,2003 JUL,30.5,Aged 16-24,All
292,2003 AUG,30.5,Aged 16-24,All
293,2003 SEP,30.4,Aged 16-24,All
294,2003 OCT,30.3,Aged 16-24,All
295,2003 NOV,30.5,Aged 16-24,All
296,2003 DEC,30.3,Aged 16-24,All
297,2004 JAN,30.1,Aged 16-24,All
298,2004 FEB,29.9,Aged 16-24,All
299,2004 MAR,30.1,Aged 16-24,All
300,2004 APR,30.1,Aged 16-24,All
301,2004 MAY,30.5,Aged 16-24,All
302,2004 JUN,30.6,Aged 16-24,All
303,2004 JUL,30.6,Aged 16-24,All
304,2004 AUG,30.6,Aged 16-24,All
305,2004 SEP,30.7,Aged 16-24,All
306,2004 OCT,30.8,Aged 16-24,All
307,2004 NOV,30.6,Aged 16-24,All
308,2004 DEC,30.6,Aged 16-24,All
309,2005 JAN,30.5,Aged 16-24,All
310,2005 FEB,31.1,Aged 16-24,All
311,2005 MAR,31.5,Aged 16-24,All
312,2005 APR,31.5,Aged 16-24,All
313,2005 MAY,31.4,Aged 16-24,All
314,2005 JUN,31.4,Aged 16-24,All
315,2005 JUL,31.8,Aged 16-24,All
316,2005 AUG,31.9,Aged 16-24,All
317,2005 SEP,31.8,Aged 16-24,All
318,2005 OCT,32.2,Aged 16-24,All
319,2005 NOV,32.4,Aged 16-24,All
320,2005 DEC,32.5,Aged 16-24,All
321,2006 JAN,31.9,Aged 16-24,All
322,2006 FEB,31.8,Aged 16-24,All
323,2006 MAR,31.5,Aged 16-24,All
324,2006 APR,31.6,Aged 16-24,All
325,2006 MAY,31.4,Aged 16-24,All
326,2006 JUN,31.4,Aged 16-24,All
327,2006 JUL,31.1,Aged 16-24,All
328,2006 AUG,31.3,Aged 16-24,All
329,2006 SEP,31.6,Aged 16-24,All
330,2006 OCT,31.9,Aged 16-24,All
331,2006 NOV,31.5,Aged 16-24,All
332,2006 DEC,31.8,Aged 16-24,All
333,2007 JAN,31.9,Aged 16-24,All
334,2007 FEB,32.0,Aged 16-24,All
335,2007 MAR,32.1,Aged 16-24,All
336,2007 APR,32.3,Aged 16-24,All
337,2007 MAY,32.6,Aged 16-24,All
338,2007 JUN,32.7,Aged 16-24,All
339,2007 JUL,32.7,Aged 16-24,All
340,2007 AUG,32.6,Aged 16-24,All
341,2007 SEP,32.5,Aged 16-24,All
342,2007 OCT,32.4,Aged 16-24,All
343,2007 NOV,32.5,Aged 16-24,All
344,2007 DEC,32.4,Aged 16-24,All
345,2008 JAN,32.5,Aged 16-24,All
346,2008 FEB,32.7,Aged 16-24,All
347,2008 MAR,32.7,Aged 16-24,All
348,2008 APR,32.7,Aged 16-24,All
349,2008 MAY,33.0,Aged 16-24,All
350,2008 JUN,33.1,Aged 16-24,All
351,2008 JUL,33.2,Aged 16-24,All
352,2008 AUG,33.0,Aged 16-24,All
353,2008 SEP,33.2,Aged 16-24,All
354,2008 OCT,33.1,Aged 16-24,All
355,2008 NOV,33.3,Aged 16-24,All
356,2008 DEC,33.1,Aged 16-24,All
357,2009 JAN,34.0,Aged 16-24,All
358,2009 FEB,34.1,Aged 16-24,All
359,2009 MAR,34.5,Aged 16-24,All
360,2009 APR,34.5,Aged 16-24,All
361,2009 MAY,34.8,Aged 16-24,All
362,2009 JUN,35.3,Aged 16-24,All
363,2009 JUL,35.3,Aged 16-24,All
364,2009 AUG,35.8,Aged 16-24,All
365,2009 SEP,36.3,Aged 16-24,All
366,2009 OCT,36.5,Aged 16-24,All
367,2009 NOV,36.6,Aged 16-24,All
368,2009 DEC,37.0,Aged 16-24,All
369,2010 JAN,36.9,Aged 16-24,All
370,2010 FEB,36.5,Aged 16-24,All
371,2010 MAR,36.2,Aged 16-24,All
372,2010 APR,36.0,Aged 16-24,All
373,2010 MAY,36.2,Aged 16-24,All
374,2010 JUN,35.8,Aged 16-24,All
375,2010 JUL,35.8,Aged 16-24,All
376,2010 AUG,35.9,Aged 16-24,All
377,2010 SEP,36.0,Aged 16-24,All
378,2010 OCT,36.9,Aged 16-24,All
379,2010 NOV,36.5,Aged 16-24,All
380,2010 DEC,36.1,Aged 16-24,All
381,2011 JAN,36.2,Aged 16-24,All
382,2011 FEB,36.7,Aged 16-24,All
383,2011 MAR,37.1,Aged 16-24,All
384,2011 APR,36.7,Aged 16-24,All
385,2011 MAY,36.4,Aged 16-24,All
386,2011 JUN,36.6,Aged 16-24,All
387,2011 JUL,36.5,Aged 16-24,All
388,2011 AUG,36.7,Aged 16-24,All
389,2011 SEP,36.6,Aged 16-24,All
390,2011 OCT,36.4,Aged 16-24,All
391,2011 NOV,36.6,Aged 16-24,All
392,2011 DEC,36.8,Aged 16-24,All
393,2012 JAN,36.6,Aged 16-24,All
394,2012 FEB,36.5,Aged 16-24,All
395,2012 MAR,36.7,Aged 16-24,All
396,2012 APR,36.2,Aged 16-24,All
397,2012 MAY,35.6,Aged 16-24,All
398,2012 JUN,35.4,Aged 16-24,All
399,2012 JUL,35.9,Aged 16-24,All
400,2012 AUG,36.1,Aged 16-24,All
401,2012 SEP,36.2,Aged 16-24,All
402,2012 OCT,35.7,Aged 16-24,All
403,2012 NOV,35.7,Aged 16-24,All
404,2012 DEC,36.0,Aged 16-24,All
405,2013 JAN,36.5,Aged 16-24,All
406,2013 FEB,36.6,Aged 16-24,All
407,2013 MAR,36.6,Aged 16-24,All
408,2013 APR,36.9,Aged 16-24,All
409,2013 MAY,37.1,Aged 16-24,All
410,2013 JUN,37.0,Aged 16-24,All
411,2013 JUL,37.0,Aged 16-24,All
412,2013 AUG,36.2,Aged 16-24,All
413,2013 SEP,36.4,Aged 16-24,All
414,2013 OCT,36.3,Aged 16-24,All
415,2013 NOV,36.5,Aged 16-24,All
416,2013 DEC,36.5,Aged 16-24,All
417,2014 JAN,36.7,Aged 16-24,All
418,2014 FEB,37.0,Aged 16-24,All
419,2014 MAR,36.6,Aged 16-24,All
420,2014 APR,36.7,Aged 16-24,All
421,2014 MAY,37.4,Aged 16-24,All
422,2014 JUN,37.8,Aged 16-24,All
423,2014 JUL,37.3,Aged 16-24,All
424,2014 AUG,37.3,Aged 16-24,All
425,2014 SEP,37.4,Aged 16-24,All
426,2014 OCT,37.7,Aged 16-24,All
427,2014 NOV,37.1,Aged 16-24,All
428,2014 DEC,36.9,Aged 16-24,All
429,2015 JAN,36.7,Aged 16-24,All
430,2015 FEB,36.7,Aged 16-24,All
431,2015 MAR,36.8,Aged 16-24,All
432,2015 APR,36.9,Aged 16-24,All
433,2015 MAY,36.6,Aged 16-24,All
434,2015 JUN,36.4,Aged 16-24,All
435,2015 JUL,36.4,Aged 16-24,All
436,2015 AUG,36.2,Aged 16-24,All
437,2015 SEP,36.4,Aged 16-24,All
438,2015 OCT,36.5,Aged 16-24,All
439,2015 NOV,36.6,Aged 16-24,All
440,2015 DEC,36.4,Aged 16-24,All
441,2016 JAN,36.5,Aged 16-24,All
442,2016 FEB,36.5,Aged 16-24,All
443,2016 MAR,37.0,Aged 16-24,All
444,2016 APR,36.8,Aged 16-24,All
445,2016 MAY,36.7,Aged 16-24,All
446,2016 JUN,36.8,Aged 16-24,All
447,2016 JUL,36.7,Aged 16-24,All
448,2016 AUG,37.2,Aged 16-24,All
449,2016 SEP,37.3,Aged 16-24,All
450,2016 OCT,37.2,Aged 16-24,All
451,2016 NOV,37.2,Aged 16-24,All
452,2016 DEC,37.4,Aged 16-24,All
453,2017 JAN,37.3,Aged 16-24,All
454,2017 FEB,37.1,Aged 16-24,All
455,2017 MAR,37.1,Aged 16-24,All
456,2017 APR,37.3,Aged 16-24,All
457,2017 MAY,37.5,Aged 16-24,All
458,2017 JUN,37.7,Aged 16-24,All
459,2017 JUL,38.1,Aged 16-24,All
460,2017 AUG,38.7,Aged 16-24,All
461,2017 SEP,38.6,Aged 16-24,All
462,2017 OCT,38.0,Aged 16-24,All
463,2017 NOV,38.2,Aged 16-24,All
464,2017 DEC,38.2,Aged 16-24,All
465,2018 JAN,38.3,Aged 16-24,All
466,2018 FEB,37.8,Aged 16-24,All
467,2018 MAR,37.8,Aged 16-24,All
468,2018 APR,37.9,Aged 16-24,All
469,2018 MAY,38.2,Aged 16-24,All
470,2018 JUN,38.2,Aged 16-24,All
471,2018 JUL,38.5,Aged 16-24,All
472,2018 AUG,38.7,Aged 16-24,All
473,2018 SEP,37.9,Aged 16-24,All
474,2018 OCT,37.3,Aged 16-24,All
475,2018 NOV,37.6,Aged 16-24,All
476,2018 DEC,37.3,Aged 16-24,All
477,2019 JAN,37.3,Aged 16-24,All
478,2019 FEB,37.9,Aged 16-24,All
479,2019 MAR,38.1,Aged 16-24,All
480,2019 APR,38.4,Aged 16-24,All
481,2019 MAY,37.6,Aged 16-24,All
482,2019 JUN,38.2,Aged 16-24,All
483,2019 JUL,39.2,Aged 16-24,All
484,2019 AUG,39.0,Aged 16-24,All
485,2019 SEP,38.6,Aged 16-24,All
486,2019 OCT,38.4,Aged 16-24,All
487,2019 NOV,38.0,Aged 16-24,All
488,2019 DEC,37.2,Aged 16-24,All
489,2020 JAN,37.0,Aged 16-24,All
490,2020 FEB,37.1,Aged 16-24,All
491,2020 MAR,37.5,Aged 16-24,All
492,2020 APR,37.4,Aged 16-24,All
493,2020 MAY,38.5,Aged 16-24,All
494,2020 JUN,39.6,Aged 16-24,All
495,2020 JUL,40.3,Aged 16-24,All
496,2020 AUG,40.3,Aged 16-24,All
497,2020 SEP,40.3,Aged 16-24,All
498,2020 OCT,39.9,Aged 16-24,All
499,2020 NOV,40.6,Aged 16-24,All
500,2020 DEC,41.2,Aged 16-24,All
501,2021 JAN,41.5,Aged 16-24,All
502,2021 FEB,41.6,Aged 16-24,All
503,2021 MAR,41.6,Aged 16-24,All
504,2021 APR,41.0,Aged 16-24,All
505,2021 MAY,40.5,Aged 16-24,All
506,2021 JUN,40.0,Aged 16-24,All
507,2021 JUL,39.8,Aged 16-24,All
508,2021 AUG,40.0,Aged 16-24,All
509,2021 SEP,39.9,Aged 16-24,All
510,2021 OCT,39.6,Aged 16-24,All
511,2021 NOV,39.0,Aged 16-24,All
512,2021 DEC,39.2,Aged 16-24,All
513,2022 JAN,39.0,Aged 16-24,All
514,2022 FEB,39.2,Aged 16-24,All
515,2022 MAR,38.3,Aged 16-24,All
516,2022 APR,38.8,Aged 16-24,All
517,2022 MAY,39.4,Aged 16-24,All
518,2022 JUN,39.8,Aged 16-24,All
519,2022 JUL,39.8,Aged 16-24,All
520,2022 AUG,40.2,Aged 16-24,All
521,2022 SEP,39.9,Aged 16-24,All
522,2022 OCT,39.3,Aged 16-24,All
523,2022 NOV,39.0,Aged 16-24,All
524,2022 DEC,38.2,Aged 16-24,All
525,2023 JAN,38.1,Aged 16-24,All
526,2023 FEB,37.4,Aged 16-24,All
527,2023 MAR,37.9,Aged 16-24,All
528,2023 APR,38.0,Aged 16-24,All
529,2023 MAY,38.0,Aged 16-24,All
156,1992 APR,17.6,Aged 25-34,All
157,1992 MAY,17.7,Aged 25-34,All
158,1992 JUN,17.8,Aged 25-34,All
159,1992 JUL,17.8,Aged 25-34,All
160,1992 AUG,17.7,Aged 25-34,All
161,1992 SEP,17.8,Aged 25-34,All
162,1992 OCT,17.7,Aged 25-34,All
163,1992 NOV,17.7,Aged 25-34,All
164,1992 DEC,17.6,Aged 25-34,All
165,1993 JAN,17.5,Aged 25-34,All
166,1993 FEB,17.5,Aged 25-34,All
167,1993 MAR,17.5,Aged 25-34,All
168,1993 APR,17.4,Aged 25-34,All
169,1993 MAY,17.4,Aged 25-34,All
170,1993 JUN,17.4,Aged 25-34,All
171,1993 JUL,17.4,Aged 25-34,All
172,1993 AUG,17.3,Aged 25-34,All
173,1993 SEP,17.3,Aged 25-34,All
174,1993 OCT,17.3,Aged 25-34,All
175,1993 NOV,17.3,Aged 25-34,All
176,1993 DEC,17.3,Aged 25-34,All
177,1994 JAN,17.2,Aged 25-34,All
178,1994 FEB,16.9,Aged 25-34,All
179,1994 MAR,17.2,Aged 25-34,All
180,1994 APR,17.2,Aged 25-34,All
181,1994 MAY,17.3,Aged 25-34,All
182,1994 JUN,17.2,Aged 25-34,All
183,1994 JUL,17.2,Aged 25-34,All
184,1994 AUG,17.2,Aged 25-34,All
185,1994 SEP,17.2,Aged 25-34,All
186,1994 OCT,17.2,Aged 25-34,All
187,1994 NOV,17.3,Aged 25-34,All
188,1994 DEC,17.4,Aged 25-34,All
189,1995 JAN,17.1,Aged 25-34,All
190,1995 FEB,16.9,Aged 25-34,All
191,1995 MAR,17.1,Aged 25-34,All
192,1995 APR,17.2,Aged 25-34,All
193,1995 MAY,17.3,Aged 25-34,All
194,1995 JUN,17.1,Aged 25-34,All
195,1995 JUL,17.0,Aged 25-34,All
196,1995 AUG,17.1,Aged 25-34,All
197,1995 SEP,17.0,Aged 25-34,All
198,1995 OCT,17.0,Aged 25-34,All
199,1995 NOV,17.1,Aged 25-34,All
200,1995 DEC,17.1,Aged 25-34,All
201,1996 JAN,17.2,Aged 25-34,All
202,1996 FEB,17.4,Aged 25-34,All
203,1996 MAR,17.5,Aged 25-34,All
204,1996 APR,17.3,Aged 25-34,All
205,1996 MAY,17.2,Aged 25-34,All
206,1996 JUN,17.3,Aged 25-34,All
207,1996 JUL,17.2,Aged 25-34,All
208,1996 AUG,16.9,Aged 25-34,All
209,1996 SEP,16.9,Aged 25-34,All
210,1996 OCT,16.7,Aged 25-34,All
211,1996 NOV,16.7,Aged 25-34,All
212,1996 DEC,16.6,Aged 25-34,All
213,1997 JAN,16.6,Aged 25-34,All
214,1997 FEB,16.6,Aged 25-34,All
215,1997 MAR,16.5,Aged 25-34,All
216,1997 APR,16.6,Aged 25-34,All
217,1997 MAY,16.3,Aged 25-34,All
218,1997 JUN,16.4,Aged 25-34,All
219,1997 JUL,16.4,Aged 25-34,All
220,1997 AUG,16.6,Aged 25-34,All
221,1997 SEP,16.5,Aged 25-34,All
222,1997 OCT,16.5,Aged 25-34,All
223,1997 NOV,16.4,Aged 25-34,All
224,1997 DEC,16.6,Aged 25-34,All
225,1998 JAN,16.5,Aged 25-34,All
226,1998 FEB,16.3,Aged 25-34,All
227,1998 MAR,16.4,Aged 25-34,All
228,1998 APR,16.4,Aged 25-34,All
229,1998 MAY,16.5,Aged 25-34,All
230,1998 JUN,16.4,Aged 25-34,All
231,1998 JUL,16.5,Aged 25-34,All
232,1998 AUG,16.5,Aged 25-34,All
233,1998 SEP,16.4,Aged 25-34,All
234,1998 OCT,16.4,Aged 25-34,All
235,1998 NOV,16.5,Aged 25-34,All
236,1998 DEC,16.1,Aged 25-34,All
237,1999 JAN,15.9,Aged 25-34,All
238,1999 FEB,16.0,Aged 25-34,All
239,1999 MAR,15.9,Aged 25-34,All
240,1999 APR,15.8,Aged 25-34,All
241,1999 MAY,15.7,Aged 25-34,All
242,1999 JUN,15.7,Aged 25-34,All
243,1999 JUL,15.5,Aged 25-34,All
244,1999 AUG,15.3,Aged 25-34,All
245,1999 SEP,15.5,Aged 25-34,All
246,1999 OCT,15.5,Aged 25-34,All
247,1999 NOV,15.4,Aged 25-34,All
248,1999 DEC,15.5,Aged 25-34,All
249,2000 JAN,15.6,Aged 25-34,All
250,2000 FEB,15.6,Aged 25-34,All
251,2000 MAR,15.7,Aged 25-34,All
252,2000 APR,15.6,Aged 25-34,All
253,2000 MAY,15.7,Aged 25-34,All
254,2000 JUN,15.7,Aged 25-34,All
255,2000 JUL,15.8,Aged 25-34,All
256,2000 AUG,15.9,Aged 25-34,All
257,2000 SEP,15.9,Aged 25-34,All
258,2000 OCT,16.0,Aged 25-34,All
259,2000 NOV,15.8,Aged 25-34,All
260,2000 DEC,15.8,Aged 25-34,All
261,2001 JAN,15.9,Aged 25-34,All
262,2001 FEB,16.2,Aged 25-34,All
263,2001 MAR,16.1,Aged 25-34,All
264,2001 APR,16.1,Aged 25-34,All
265,2001 MAY,16.0,Aged 25-34,All
266,2001 JUN,16.3,Aged 25-34,All
267,2001 JUL,16.4,Aged 25-34,All
268,2001 AUG,16.3,Aged 25-34,All
269,2001 SEP,16.2,Aged 25-34,All
270,2001 OCT,16.2,Aged 25-34,All
271,2001 NOV,16.3,Aged 25-34,All
272,2001 DEC,16.2,Aged 25-34,All
273,2002 JAN,16.3,Aged 25-34,All
274,2002 FEB,16.2,Aged 25-34,All
275,2002 MAR,16.2,Aged 25-34,All
276,2002 APR,16.1,Aged 25-34,All
277,2002 MAY,16.3,Aged 25-34,All
278,2002 JUN,16.3,Aged 25-34,All
279,2002 JUL,16.3,Aged 25-34,All
280,2002 AUG,16.4,Aged 25-34,All
281,2002 SEP,16.4,Aged 25-34,All
282,2002 OCT,16.3,Aged 25-34,All
283,2002 NOV,16.3,Aged 25-34,All
284,2002 DEC,16.6,Aged 25-34,All
285,2003 JAN,16.6,Aged 25-34,All
286,2003 FEB,16.5,Aged 25-34,All
287,2003 MAR,16.7,Aged 25-34,All
288,2003 APR,16.7,Aged 25-34,All
289,2003 MAY,16.6,Aged 25-34,All
290,2003 JUN,16.6,Aged 25-34,All
291,2003 JUL,16.5,Aged 25-34,All
292,2003 AUG,16.3,Aged 25-34,All
293,2003 SEP,16.5,Aged 25-34,All
294,2003 OCT,16.5,Aged 25-34,All
295,2003 NOV,16.5,Aged 25-34,All
296,2003 DEC,16.3,Aged 25-34,All
297,2004 JAN,16.5,Aged 25-34,All
298,2004 FEB,16.6,Aged 25-34,All
299,2004 MAR,16.6,Aged 25-34,All
300,2004 APR,16.8,Aged 25-34,All
301,2004 MAY,16.6,Aged 25-34,All
302,2004 JUN,16.6,Aged 25-34,All
303,2004 JUL,16.6,Aged 25-34,All
304,2004 AUG,16.7,Aged 25-34,All
305,2004 SEP,16.8,Aged 25-34,All
306,2004 OCT,16.5,Aged 25-34,All
307,2004 NOV,16.3,Aged 25-34,All
308,2004 DEC,16.1,Aged 25-34,All
309,2005 JAN,15.8,Aged 25-34,All
310,2005 FEB,16.0,Aged 25-34,All
311,2005 MAR,16.2,Aged 25-34,All
312,2005 APR,16.3,Aged 25-34,All
313,2005 MAY,16.5,Aged 25-34,All
314,2005 JUN,16.5,Aged 25-34,All
315,2005 JUL,16.3,Aged 25-34,All
316,2005 AUG,16.3,Aged 25-34,All
317,2005 SEP,16.1,Aged 25-34,All
318,2005 OCT,16.1,Aged 25-34,All
319,2005 NOV,15.9,Aged 25-34,All
320,2005 DEC,15.8,Aged 25-34,All
321,2006 JAN,15.8,Aged 25-34,All
322,2006 FEB,15.7,Aged 25-34,All
323,2006 MAR,15.6,Aged 25-34,All
324,2006 APR,15.6,Aged 25-34,All
325,2006 MAY,15.5,Aged 25-34,All
326,2006 JUN,15.6,Aged 25-34,All
327,2006 JUL,15.7,Aged 25-34,All
328,2006 AUG,15.8,Aged 25-34,All
329,2006 SEP,15.7,Aged 25-34,All
330,2006 OCT,15.6,Aged 25-34,All
331,2006 NOV,15.8,Aged 25-34,All
332,2006 DEC,15.9,Aged 25-34,All
333,2007 JAN,16.0,Aged 25-34,All
334,2007 FEB,15.9,Aged 25-34,All
335,2007 MAR,15.7,Aged 25-34,All
336,2007 APR,15.6,Aged 25-34,All
337,2007 MAY,15.7,Aged 25-34,All
338,2007 JUN,15.8,Aged 25-34,All
339,2007 JUL,15.7,Aged 25-34,All
340,2007 AUG,15.7,Aged 25-34,All
341,2007 SEP,15.9,Aged 25-34,All
342,2007 OCT,15.9,Aged 25-34,All
343,2007 NOV,15.9,Aged 25-34,All
344,2007 DEC,15.6,Aged 25-34,All
345,2008 JAN,15.3,Aged 25-34,All
346,2008 FEB,15.5,Aged 25-34,All
347,2008 MAR,15.4,Aged 25-34,All
348,2008 APR,15.2,Aged 25-34,All
349,2008 MAY,15.2,Aged 25-34,All
350,2008 JUN,15.2,Aged 25-34,All
351,2008 JUL,15.4,Aged 25-34,All
352,2008 AUG,15.4,Aged 25-34,All
353,2008 SEP,15.5,Aged 25-34,All
354,2008 OCT,15.5,Aged 25-34,All
355,2008 NOV,15.3,Aged 25-34,All
356,2008 DEC,15.2,Aged 25-34,All
357,2009 JAN,15.2,Aged 25-34,All
358,2009 FEB,15.1,Aged 25-34,All
359,2009 MAR,15.3,Aged 25-34,All
360,2009 APR,15.6,Aged 25-34,All
361,2009 MAY,15.7,Aged 25-34,All
362,2009 JUN,15.7,Aged 25-34,All
363,2009 JUL,15.5,Aged 25-34,All
364,2009 AUG,15.4,Aged 25-34,All
365,2009 SEP,15.3,Aged 25-34,All
366,2009 OCT,15.2,Aged 25-34,All
367,2009 NOV,15.2,Aged 25-34,All
368,2009 DEC,15.5,Aged 25-34,All
369,2010 JAN,15.5,Aged 25-34,All
370,2010 FEB,15.6,Aged 25-34,All
371,2010 MAR,15.9,Aged 25-34,All
372,2010 APR,15.6,Aged 25-34,All
373,2010 MAY,15.3,Aged 25-34,All
374,2010 JUN,15.1,Aged 25-34,All
375,2010 JUL,15.4,Aged 25-34,All
376,2010 AUG,15.2,Aged 25-34,All
377,2010 SEP,15.3,Aged 25-34,All
378,2010 OCT,14.9,Aged 25-34,All
379,2010 NOV,15.0,Aged 25-34,All
380,2010 DEC,15.1,Aged 25-34,All
381,2011 JAN,15.0,Aged 25-34,All
382,2011 FEB,14.8,Aged 25-34,All
383,2011 MAR,14.9,Aged 25-34,All
384,2011 APR,14.8,Aged 25-34,All
385,2011 MAY,14.9,Aged 25-34,All
386,2011 JUN,15.1,Aged 25-34,All
387,2011 JUL,14.9,Aged 25-34,All
388,2011 AUG,15.2,Aged 25-34,All
389,2011 SEP,15.2,Aged 25-34,All
390,2011 OCT,15.2,Aged 25-34,All
