DATE,obs,var
2000 JUN,0.319,Inactivity Rate
2000 JUL,0.317,Inactivity Rate
2000 AUG,0.313,Inactivity Rate
2000 SEP,0.309,Inactivity Rate
2000 OCT,0.305,Inactivity Rate
2000 NOV,0.303,Inactivity Rate
2000 DEC,0.299,Inactivity Rate
2001 JAN,0.306,Inactivity Rate
2001 FEB,0.306,Inactivity Rate
2001 MAR,0.305,Inactivity Rate
2001 APR,0.298,Inactivity Rate
2001 MAY,0.298,Inactivity Rate
2001 JUN,0.291,Inactivity Rate
2001 JUL,0.29,Inactivity Rate
2001 AUG,0.291,Inactivity Rate
2001 SEP,0.295,Inactivity Rate
2001 OCT,0.301,Inactivity Rate
2001 NOV,0.305,Inactivity Rate
2001 DEC,0.31,Inactivity Rate
2002 JAN,0.308,Inactivity Rate
2002 FEB,0.304,Inactivity Rate
2002 MAR,0.3,Inactivity Rate
2002 APR,0.3,Inactivity Rate
2002 MAY,0.299,Inactivity Rate
2002 JUN,0.301,Inactivity Rate
2002 JUL,0.297,Inactivity Rate
2002 AUG,0.296,Inactivity Rate
2002 SEP,0.295,Inactivity Rate
2002 OCT,0.293,Inactivity Rate
2002 NOV,0.289,Inactivity Rate
2002 DEC,0.284,Inactivity Rate
2003 JAN,0.281,Inactivity Rate
2003 FEB,0.275,Inactivity Rate
2003 MAR,0.275,Inactivity Rate
2003 APR,0.279,Inactivity Rate
2003 MAY,0.287,Inactivity Rate
2003 JUN,0.291,Inactivity Rate
2003 JUL,0.294,Inactivity Rate
2003 AUG,0.293,Inactivity Rate
2003 SEP,0.295,Inactivity Rate
2003 OCT,0.298,Inactivity Rate
2003 NOV,0.303,Inactivity Rate
2003 DEC,0.3,Inactivity Rate
2004 JAN,0.298,Inactivity Rate
2004 FEB,0.308,Inactivity Rate
2004 MAR,0.308,Inactivity Rate
2004 APR,0.312,Inactivity Rate
2004 MAY,0.312,Inactivity Rate
2004 JUN,0.31,Inactivity Rate
2004 JUL,0.311,Inactivity Rate
2004 AUG,0.309,Inactivity Rate
2004 SEP,0.301,Inactivity Rate
2004 OCT,0.297,Inactivity Rate
2004 NOV,0.291,Inactivity Rate
2004 DEC,0.296,Inactivity Rate
2005 JAN,0.295,Inactivity Rate
2005 FEB,0.294,Inactivity Rate
2005 MAR,0.3,Inactivity Rate
2005 APR,0.298,Inactivity Rate
2005 MAY,0.296,Inactivity Rate
2005 JUN,0.288,Inactivity Rate
2005 JUL,0.287,Inactivity Rate
2005 AUG,0.285,Inactivity Rate
2005 SEP,0.29,Inactivity Rate
2005 OCT,0.291,Inactivity Rate
2005 NOV,0.297,Inactivity Rate
2005 DEC,0.293,Inactivity Rate
2006 JAN,0.289,Inactivity Rate
2006 FEB,0.295,Inactivity Rate
2006 MAR,0.296,Inactivity Rate
2006 APR,0.294,Inactivity Rate
2006 MAY,0.288,Inactivity Rate
2006 JUN,0.284,Inactivity Rate
2006 JUL,0.285,Inactivity Rate
2006 AUG,0.291,Inactivity Rate
2006 SEP,0.293,Inactivity Rate
2006 OCT,0.291,Inactivity Rate
2006 NOV,0.289,Inactivity Rate
2006 DEC,0.286,Inactivity Rate
2007 JAN,0.286,Inactivity Rate
2007 FEB,0.283,Inactivity Rate
2007 MAR,0.276,Inactivity Rate
2007 APR,0.279,Inactivity Rate
2007 MAY,0.285,Inactivity Rate
2007 JUN,0.29,Inactivity Rate
2007 JUL,0.296,Inactivity Rate
2007 AUG,0.291,Inactivity Rate
2007 SEP,0.29,Inactivity Rate
2007 OCT,0.289,Inactivity Rate
2007 NOV,0.289,Inactivity Rate
2007 DEC,0.288,Inactivity Rate
2008 JAN,0.285,Inactivity Rate
2008 FEB,0.285,Inactivity Rate
2008 MAR,0.281,Inactivity Rate
2008 APR,0.279,Inactivity Rate
2008 MAY,0.285,Inactivity Rate
2008 JUN,0.286,Inactivity Rate
2008 JUL,0.286,Inactivity Rate
2008 AUG,0.289,Inactivity Rate
2008 SEP,0.29,Inactivity Rate
2008 OCT,0.296,Inactivity Rate
2008 NOV,0.295,Inactivity Rate
2008 DEC,0.3,Inactivity Rate
2009 JAN,0.305,Inactivity Rate
2009 FEB,0.308,Inactivity Rate
2009 MAR,0.31,Inactivity Rate
2009 APR,0.318,Inactivity Rate
2009 MAY,0.315,Inactivity Rate
2009 JUN,0.313,Inactivity Rate
2009 JUL,0.311,Inactivity Rate
2009 AUG,0.306,Inactivity Rate
2009 SEP,0.302,Inactivity Rate
2009 OCT,0.297,Inactivity Rate
2009 NOV,0.301,Inactivity Rate
2009 DEC,0.3,Inactivity Rate
2010 JAN,0.291,Inactivity Rate
2010 FEB,0.292,Inactivity Rate
2010 MAR,0.287,Inactivity Rate
2010 APR,0.289,Inactivity Rate
2010 MAY,0.289,Inactivity Rate
2010 JUN,0.287,Inactivity Rate
2010 JUL,0.286,Inactivity Rate
2010 AUG,0.288,Inactivity Rate
2010 SEP,0.288,Inactivity Rate
2010 OCT,0.291,Inactivity Rate
2010 NOV,0.283,Inactivity Rate
2010 DEC,0.282,Inactivity Rate
2011 JAN,0.281,Inactivity Rate
2011 FEB,0.278,Inactivity Rate
2011 MAR,0.275,Inactivity Rate
2011 APR,0.268,Inactivity Rate
2011 MAY,0.268,Inactivity Rate
2011 JUN,0.274,Inactivity Rate
2011 JUL,0.27,Inactivity Rate
2011 AUG,0.273,Inactivity Rate
2011 SEP,0.272,Inactivity Rate
2011 OCT,0.272,Inactivity Rate
2011 NOV,0.272,Inactivity Rate
2011 DEC,0.272,Inactivity Rate
2012 JAN,0.274,Inactivity Rate
2012 FEB,0.276,Inactivity Rate
2012 MAR,0.277,Inactivity Rate
2012 APR,0.274,Inactivity Rate
2012 MAY,0.273,Inactivity Rate
2012 JUN,0.27,Inactivity Rate
2012 JUL,0.272,Inactivity Rate
2012 AUG,0.27,Inactivity Rate
2012 SEP,0.269,Inactivity Rate
2012 OCT,0.27,Inactivity Rate
2012 NOV,0.272,Inactivity Rate
2012 DEC,0.275,Inactivity Rate
2013 JAN,0.279,Inactivity Rate
2013 FEB,0.277,Inactivity Rate
2013 MAR,0.272,Inactivity Rate
2013 APR,0.277,Inactivity Rate
2013 MAY,0.283,Inactivity Rate
2013 JUN,0.274,Inactivity Rate
2013 JUL,0.279,Inactivity Rate
2013 AUG,0.275,Inactivity Rate
2013 SEP,0.275,Inactivity Rate
2013 OCT,0.271,Inactivity Rate
2013 NOV,0.27,Inactivity Rate
2013 DEC,0.269,Inactivity Rate
2014 JAN,0.268,Inactivity Rate
2014 FEB,0.27,Inactivity Rate
2014 MAR,0.27,Inactivity Rate
2014 APR,0.269,Inactivity Rate
2014 MAY,0.268,Inactivity Rate
2014 JUN,0.271,Inactivity Rate
2014 JUL,0.271,Inactivity Rate
2014 AUG,0.27,Inactivity Rate
2014 SEP,0.271,Inactivity Rate
2014 OCT,0.278,Inactivity Rate
2014 NOV,0.28,Inactivity Rate
2014 DEC,0.28,Inactivity Rate
2015 JAN,0.27,Inactivity Rate
2015 FEB,0.271,Inactivity Rate
2015 MAR,0.272,Inactivity Rate
2015 APR,0.277,Inactivity Rate
2015 MAY,0.274,Inactivity Rate
2015 JUN,0.275,Inactivity Rate
2015 JUL,0.276,Inactivity Rate
2015 AUG,0.276,Inactivity Rate
2015 SEP,0.269,Inactivity Rate
2015 OCT,0.266,Inactivity Rate
2015 NOV,0.269,Inactivity Rate
2015 DEC,0.266,Inactivity Rate
2016 JAN,0.264,Inactivity Rate
2016 FEB,0.261,Inactivity Rate
2016 MAR,0.259,Inactivity Rate
2016 APR,0.267,Inactivity Rate
2016 MAY,0.264,Inactivity Rate
2016 JUN,0.263,Inactivity Rate
2016 JUL,0.257,Inactivity Rate
2016 AUG,0.256,Inactivity Rate
2016 SEP,0.259,Inactivity Rate
2016 OCT,0.264,Inactivity Rate
2016 NOV,0.261,Inactivity Rate
2016 DEC,0.265,Inactivity Rate
2017 JAN,0.274,Inactivity Rate
2017 FEB,0.276,Inactivity Rate
2017 MAR,0.272,Inactivity Rate
2017 APR,0.274,Inactivity Rate
2017 MAY,0.268,Inactivity Rate
2017 JUN,0.279,Inactivity Rate
2017 JUL,0.282,Inactivity Rate
2017 AUG,0.288,Inactivity Rate
2017 SEP,0.287,Inactivity Rate
2017 OCT,0.28,Inactivity Rate
2017 NOV,0.284,Inactivity Rate
2017 DEC,0.28,Inactivity Rate
2018 JAN,0.281,Inactivity Rate
2018 FEB,0.279,Inactivity Rate
2018 MAR,0.277,Inactivity Rate
2018 APR,0.274,Inactivity Rate
2018 MAY,0.276,Inactivity Rate
2018 JUN,0.271,Inactivity Rate
2018 JUL,0.272,Inactivity Rate
2018 AUG,0.277,Inactivity Rate
2018 SEP,0.278,Inactivity Rate
2018 OCT,0.275,Inactivity Rate
2018 NOV,0.268,Inactivity Rate
2018 DEC,0.264,Inactivity Rate
2019 JAN,0.266,Inactivity Rate
2019 FEB,0.265,Inactivity Rate
2019 MAR,0.264,Inactivity Rate
2019 APR,0.259,Inactivity Rate
2019 MAY,0.255,Inactivity Rate
2019 JUN,0.258,Inactivity Rate
2019 JUL,0.264,Inactivity Rate
2019 AUG,0.258,Inactivity Rate
2019 SEP,0.259,Inactivity Rate
2019 OCT,0.257,Inactivity Rate
2019 NOV,0.258,Inactivity Rate
2019 DEC,0.259,Inactivity Rate
2020 JAN,0.256,Inactivity Rate
2020 FEB,0.264,Inactivity Rate
2020 MAR,0.273,Inactivity Rate
2020 APR,0.274,Inactivity Rate
2020 MAY,0.28,Inactivity Rate
2020 JUN,0.278,Inactivity Rate
2020 JUL,0.274,Inactivity Rate
2020 AUG,0.275,Inactivity Rate
2020 SEP,0.274,Inactivity Rate
2020 OCT,0.284,Inactivity Rate
2020 NOV,0.29,Inactivity Rate
2020 DEC,0.29,Inactivity Rate
2021 JAN,0.297,Inactivity Rate
2021 FEB,0.292,Inactivity Rate
2021 MAR,0.29,Inactivity Rate
2021 APR,0.296,Inactivity Rate
2021 MAY,0.281,Inactivity Rate
2021 JUN,0.279,Inactivity Rate
2021 JUL,0.277,Inactivity Rate
2021 AUG,0.287,Inactivity Rate
2021 SEP,0.287,Inactivity Rate
2021 OCT,0.294,Inactivity Rate
2021 NOV,0.289,Inactivity Rate
2021 DEC,0.289,Inactivity Rate
2022 JAN,0.284,Inactivity Rate
2022 FEB,0.275,Inactivity Rate
2022 MAR,0.278,Inactivity Rate
2022 APR,0.28,Inactivity Rate
2022 MAY,0.283,Inactivity Rate
2022 JUN,0.282,Inactivity Rate
2022 JUL,0.278,Inactivity Rate
2022 AUG,0.277,Inactivity Rate
2022 SEP,0.267,Inactivity Rate
2022 OCT,0.266,Inactivity Rate
2022 NOV,0.263,Inactivity Rate
2022 DEC,0.264,Inactivity Rate
2023 JAN,0.262,Inactivity Rate
2023 FEB,0.261,Inactivity Rate
2023 MAR,0.258,Inactivity Rate
2023 APR,0.261,Inactivity Rate
2023 MAY,0.266,Inactivity Rate
