,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender,obvs_dis
12764,2018-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
12984,2019-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
12988,2019-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,40.0
13208,2019-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
13212,2019-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,40.0
13432,2019-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
13436,2019-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,40.0
13656,2019-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
13660,2019-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,38.0
13880,2020-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
13884,2020-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.39,Female,39.0
14104,2020-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
14108,2020-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,40.0
14328,2020-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
14332,2020-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
14552,2020-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,32.0
14556,2020-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
14776,2021-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,33.0
14780,2021-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
15000,2021-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,31.0
15004,2021-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.4,Female,40.0
15224,2021-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
15228,2021-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,37.0
15448,2021-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
15452,2021-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,38.0
15672,2022-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
15676,2022-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,37.0
15896,2022-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
15900,2022-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,37.0
16120,2022-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
16124,2022-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.38,Female,38.0
16344,2022-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
16348,2022-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.37,Female,37.0
16568,2023-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
16572,2023-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.39,Female,39.0
