DATE,obs,var
2004 AUG,0.227,Inactivity Rate
2004 SEP,0.225,Inactivity Rate
2004 OCT,0.225,Inactivity Rate
2004 NOV,0.224,Inactivity Rate
2004 DEC,0.223,Inactivity Rate
2005 JAN,0.225,Inactivity Rate
2005 FEB,0.223,Inactivity Rate
2005 MAR,0.227,Inactivity Rate
2005 APR,0.225,Inactivity Rate
2005 MAY,0.229,Inactivity Rate
2005 JUN,0.226,Inactivity Rate
2005 JUL,0.227,Inactivity Rate
2005 AUG,0.226,Inactivity Rate
2005 SEP,0.225,Inactivity Rate
2005 OCT,0.226,Inactivity Rate
2005 NOV,0.229,Inactivity Rate
2005 DEC,0.23,Inactivity Rate
2006 JAN,0.228,Inactivity Rate
2006 FEB,0.229,Inactivity Rate
2006 MAR,0.226,Inactivity Rate
2006 APR,0.225,Inactivity Rate
2006 MAY,0.23,Inactivity Rate
2006 JUN,0.229,Inactivity Rate
2006 JUL,0.229,Inactivity Rate
2006 AUG,0.226,Inactivity Rate
2006 SEP,0.225,Inactivity Rate
2006 OCT,0.224,Inactivity Rate
2006 NOV,0.218,Inactivity Rate
2006 DEC,0.218,Inactivity Rate
2007 JAN,0.216,Inactivity Rate
2007 FEB,0.215,Inactivity Rate
2007 MAR,0.216,Inactivity Rate
2007 APR,0.215,Inactivity Rate
2007 MAY,0.214,Inactivity Rate
2007 JUN,0.215,Inactivity Rate
2007 JUL,0.218,Inactivity Rate
2007 AUG,0.22,Inactivity Rate
2007 SEP,0.219,Inactivity Rate
2007 OCT,0.22,Inactivity Rate
2007 NOV,0.22,Inactivity Rate
2007 DEC,0.216,Inactivity Rate
2008 JAN,0.217,Inactivity Rate
2008 FEB,0.22,Inactivity Rate
2008 MAR,0.221,Inactivity Rate
2008 APR,0.223,Inactivity Rate
2008 MAY,0.224,Inactivity Rate
2008 JUN,0.225,Inactivity Rate
2008 JUL,0.226,Inactivity Rate
2008 AUG,0.224,Inactivity Rate
2008 SEP,0.223,Inactivity Rate
2008 OCT,0.227,Inactivity Rate
2008 NOV,0.225,Inactivity Rate
2008 DEC,0.225,Inactivity Rate
2009 JAN,0.223,Inactivity Rate
2009 FEB,0.221,Inactivity Rate
2009 MAR,0.22,Inactivity Rate
2009 APR,0.223,Inactivity Rate
2009 MAY,0.225,Inactivity Rate
2009 JUN,0.229,Inactivity Rate
2009 JUL,0.225,Inactivity Rate
2009 AUG,0.226,Inactivity Rate
2009 SEP,0.224,Inactivity Rate
2009 OCT,0.221,Inactivity Rate
2009 NOV,0.225,Inactivity Rate
2009 DEC,0.229,Inactivity Rate
2010 JAN,0.234,Inactivity Rate
2010 FEB,0.237,Inactivity Rate
2010 MAR,0.238,Inactivity Rate
2010 APR,0.236,Inactivity Rate
2010 MAY,0.233,Inactivity Rate
2010 JUN,0.226,Inactivity Rate
2010 JUL,0.229,Inactivity Rate
2010 AUG,0.227,Inactivity Rate
2010 SEP,0.224,Inactivity Rate
2010 OCT,0.228,Inactivity Rate
2010 NOV,0.225,Inactivity Rate
2010 DEC,0.226,Inactivity Rate
2011 JAN,0.226,Inactivity Rate
2011 FEB,0.228,Inactivity Rate
2011 MAR,0.231,Inactivity Rate
2011 APR,0.225,Inactivity Rate
2011 MAY,0.222,Inactivity Rate
2011 JUN,0.228,Inactivity Rate
2011 JUL,0.228,Inactivity Rate
2011 AUG,0.226,Inactivity Rate
2011 SEP,0.22,Inactivity Rate
2011 OCT,0.222,Inactivity Rate
2011 NOV,0.224,Inactivity Rate
2011 DEC,0.223,Inactivity Rate
2012 JAN,0.223,Inactivity Rate
2012 FEB,0.224,Inactivity Rate
2012 MAR,0.225,Inactivity Rate
2012 APR,0.225,Inactivity Rate
2012 MAY,0.223,Inactivity Rate
2012 JUN,0.225,Inactivity Rate
2012 JUL,0.226,Inactivity Rate
2012 AUG,0.232,Inactivity Rate
2012 SEP,0.235,Inactivity Rate
2012 OCT,0.232,Inactivity Rate
2012 NOV,0.232,Inactivity Rate
2012 DEC,0.23,Inactivity Rate
2013 JAN,0.226,Inactivity Rate
2013 FEB,0.224,Inactivity Rate
2013 MAR,0.223,Inactivity Rate
2013 APR,0.221,Inactivity Rate
2013 MAY,0.22,Inactivity Rate
2013 JUN,0.216,Inactivity Rate
2013 JUL,0.213,Inactivity Rate
2013 AUG,0.214,Inactivity Rate
2013 SEP,0.216,Inactivity Rate
2013 OCT,0.223,Inactivity Rate
2013 NOV,0.216,Inactivity Rate
2013 DEC,0.217,Inactivity Rate
2014 JAN,0.217,Inactivity Rate
2014 FEB,0.216,Inactivity Rate
2014 MAR,0.215,Inactivity Rate
2014 APR,0.213,Inactivity Rate
2014 MAY,0.215,Inactivity Rate
2014 JUN,0.214,Inactivity Rate
2014 JUL,0.216,Inactivity Rate
2014 AUG,0.214,Inactivity Rate
2014 SEP,0.214,Inactivity Rate
2014 OCT,0.214,Inactivity Rate
2014 NOV,0.214,Inactivity Rate
2014 DEC,0.214,Inactivity Rate
2015 JAN,0.209,Inactivity Rate
2015 FEB,0.206,Inactivity Rate
2015 MAR,0.207,Inactivity Rate
2015 APR,0.213,Inactivity Rate
2015 MAY,0.215,Inactivity Rate
2015 JUN,0.213,Inactivity Rate
2015 JUL,0.213,Inactivity Rate
2015 AUG,0.21,Inactivity Rate
2015 SEP,0.211,Inactivity Rate
2015 OCT,0.208,Inactivity Rate
2015 NOV,0.206,Inactivity Rate
2015 DEC,0.208,Inactivity Rate
2016 JAN,0.211,Inactivity Rate
2016 FEB,0.219,Inactivity Rate
2016 MAR,0.222,Inactivity Rate
2016 APR,0.216,Inactivity Rate
2016 MAY,0.219,Inactivity Rate
2016 JUN,0.223,Inactivity Rate
2016 JUL,0.225,Inactivity Rate
2016 AUG,0.227,Inactivity Rate
2016 SEP,0.225,Inactivity Rate
2016 OCT,0.226,Inactivity Rate
2016 NOV,0.223,Inactivity Rate
2016 DEC,0.227,Inactivity Rate
2017 JAN,0.229,Inactivity Rate
2017 FEB,0.224,Inactivity Rate
2017 MAR,0.226,Inactivity Rate
2017 APR,0.229,Inactivity Rate
2017 MAY,0.219,Inactivity Rate
2017 JUN,0.212,Inactivity Rate
2017 JUL,0.215,Inactivity Rate
2017 AUG,0.217,Inactivity Rate
2017 SEP,0.218,Inactivity Rate
2017 OCT,0.217,Inactivity Rate
2017 NOV,0.221,Inactivity Rate
2017 DEC,0.219,Inactivity Rate
2018 JAN,0.217,Inactivity Rate
2018 FEB,0.218,Inactivity Rate
2018 MAR,0.215,Inactivity Rate
2018 APR,0.211,Inactivity Rate
2018 MAY,0.215,Inactivity Rate
2018 JUN,0.217,Inactivity Rate
2018 JUL,0.22,Inactivity Rate
2018 AUG,0.22,Inactivity Rate
2018 SEP,0.22,Inactivity Rate
2018 OCT,0.219,Inactivity Rate
2018 NOV,0.217,Inactivity Rate
2018 DEC,0.22,Inactivity Rate
2019 JAN,0.218,Inactivity Rate
2019 FEB,0.22,Inactivity Rate
2019 MAR,0.215,Inactivity Rate
2019 APR,0.216,Inactivity Rate
2019 MAY,0.216,Inactivity Rate
2019 JUN,0.219,Inactivity Rate
2019 JUL,0.225,Inactivity Rate
2019 AUG,0.224,Inactivity Rate
2019 SEP,0.226,Inactivity Rate
2019 OCT,0.227,Inactivity Rate
2019 NOV,0.222,Inactivity Rate
2019 DEC,0.223,Inactivity Rate
2020 JAN,0.216,Inactivity Rate
2020 FEB,0.223,Inactivity Rate
2020 MAR,0.223,Inactivity Rate
2020 APR,0.228,Inactivity Rate
2020 MAY,0.226,Inactivity Rate
2020 JUN,0.226,Inactivity Rate
2020 JUL,0.224,Inactivity Rate
2020 AUG,0.223,Inactivity Rate
2020 SEP,0.218,Inactivity Rate
2020 OCT,0.221,Inactivity Rate
2020 NOV,0.229,Inactivity Rate
2020 DEC,0.226,Inactivity Rate
2021 JAN,0.219,Inactivity Rate
2021 FEB,0.223,Inactivity Rate
2021 MAR,0.226,Inactivity Rate
2021 APR,0.225,Inactivity Rate
2021 MAY,0.223,Inactivity Rate
2021 JUN,0.224,Inactivity Rate
2021 JUL,0.222,Inactivity Rate
2021 AUG,0.22,Inactivity Rate
2021 SEP,0.222,Inactivity Rate
2021 OCT,0.221,Inactivity Rate
2021 NOV,0.226,Inactivity Rate
2021 DEC,0.224,Inactivity Rate
2022 JAN,0.224,Inactivity Rate
2022 FEB,0.219,Inactivity Rate
2022 MAR,0.219,Inactivity Rate
2022 APR,0.218,Inactivity Rate
2022 MAY,0.22,Inactivity Rate
2022 JUN,0.224,Inactivity Rate
2022 JUL,0.216,Inactivity Rate
2022 AUG,0.219,Inactivity Rate
2022 SEP,0.214,Inactivity Rate
2022 OCT,0.213,Inactivity Rate
2022 NOV,0.208,Inactivity Rate
2022 DEC,0.21,Inactivity Rate
2023 JAN,0.22,Inactivity Rate
2023 FEB,0.222,Inactivity Rate
2023 MAR,0.229,Inactivity Rate
2023 APR,0.223,Inactivity Rate
2023 MAY,0.226,Inactivity Rate
