,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
2008,2006-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.2,Male
2012,2006-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.5,Female
2224,2007-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.5,Male
2228,2007-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.2,Female
2232,2007-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.5,Male
2236,2007-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.8,Female
2448,2007-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.2,Male
2452,2007-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,54.7,Female
2456,2007-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.8,Male
2460,2007-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,45.3,Female
2672,2007-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,34.2,Male
2676,2007-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.4,Female
2680,2007-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,65.8,Male
2684,2007-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.6,Female
2896,2007-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,34.5,Male
2900,2007-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,54.0,Female
2904,2007-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,65.5,Male
2908,2007-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.0,Female
3120,2008-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.3,Male
3124,2008-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.5,Female
3128,2008-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.7,Male
3132,2008-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.5,Female
3344,2008-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,34.5,Male
3348,2008-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.2,Female
3352,2008-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,65.5,Male
3356,2008-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.8,Female
3568,2008-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,34.6,Male
3572,2008-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.0,Female
3576,2008-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,65.4,Male
3580,2008-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.0,Female
3792,2008-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,34.9,Male
3796,2008-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.1,Female
3800,2008-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,65.1,Male
3804,2008-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.9,Female
4016,2009-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,36.1,Male
4020,2009-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,54.1,Female
4024,2009-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,63.9,Male
4028,2009-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,45.9,Female
4240,2009-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,36.4,Male
4244,2009-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.8,Female
4248,2009-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,63.6,Male
4252,2009-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.2,Female
4464,2009-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,35.7,Male
4468,2009-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.7,Female
4472,2009-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,64.3,Male
4476,2009-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.3,Female
4688,2009-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,35.3,Male
4692,2009-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,53.1,Female
4696,2009-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,64.7,Male
4700,2009-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,46.9,Female
4912,2010-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.6,Male
4916,2010-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.1,Female
4920,2010-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.4,Male
4924,2010-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.9,Female
5136,2010-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.9,Male
5140,2010-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.6,Female
5144,2010-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.1,Male
5148,2010-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.4,Female
5360,2010-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,33.9,Male
5364,2010-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,52.3,Female
5368,2010-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,66.1,Male
5372,2010-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,47.7,Female
5584,2010-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.7,Male
5588,2010-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,51.4,Female
5592,2010-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.3,Male
5596,2010-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,48.6,Female
5808,2011-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.2,Male
5812,2011-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,51.7,Female
5816,2011-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.8,Male
5820,2011-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,48.3,Female
6032,2011-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.6,Male
6036,2011-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,49.5,Female
6040,2011-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.4,Male
6044,2011-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,50.5,Female
6256,2011-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.5,Male
6260,2011-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,49.4,Female
6264,2011-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.5,Male
6268,2011-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,50.6,Female
6480,2011-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.7,Male
6484,2011-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,48.1,Female
6488,2011-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.3,Male
6492,2011-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,51.9,Female
6704,2012-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.2,Male
6708,2012-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,46.2,Female
6712,2012-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.8,Male
6716,2012-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.8,Female
6928,2012-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.1,Male
6932,2012-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,45.1,Female
6936,2012-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.9,Male
6940,2012-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.9,Female
7152,2012-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.7,Male
7156,2012-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,44.1,Female
7160,2012-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.3,Male
7164,2012-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,55.9,Female
7376,2012-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.4,Male
7380,2012-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,43.0,Female
7384,2012-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.6,Male
7388,2012-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.0,Female
7600,2013-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.1,Male
7604,2013-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.3,Female
7608,2013-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.9,Male
7612,2013-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.7,Female
7824,2013-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.8,Male
7828,2013-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,44.2,Female
7832,2013-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.2,Male
7836,2013-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,55.8,Female
8048,2013-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.6,Male
8052,2013-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.9,Female
8056,2013-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.4,Male
8060,2013-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.1,Female
8272,2013-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.1,Male
8276,2013-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,43.4,Female
8280,2013-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.9,Male
8284,2013-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,56.6,Female
8496,2014-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.2,Male
8500,2014-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,43.2,Female
8504,2014-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.8,Male
8508,2014-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,56.8,Female
8720,2014-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.2,Male
8724,2014-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.6,Female
8728,2014-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.8,Male
8732,2014-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.4,Female
8944,2014-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.9,Male
8948,2014-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.6,Female
8952,2014-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.1,Male
8956,2014-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.4,Female
9168,2014-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.9,Male
9172,2014-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,43.3,Female
9176,2014-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.1,Male
9180,2014-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,56.7,Female
9392,2015-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.4,Male
9396,2015-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.6,Female
9400,2015-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.6,Male
9404,2015-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.4,Female
9616,2015-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.7,Male
9620,2015-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.4,Female
9624,2015-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.3,Male
9628,2015-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.6,Female
9840,2015-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.1,Male
9844,2015-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.7,Female
9848,2015-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.9,Male
9852,2015-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.3,Female
10064,2015-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.1,Male
10068,2015-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.8,Female
10072,2015-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.9,Male
10076,2015-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.2,Female
10288,2016-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.1,Male
10292,2016-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.7,Female
10296,2016-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.9,Male
10300,2016-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.3,Female
10512,2016-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.4,Male
10516,2016-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.9,Female
10520,2016-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.6,Male
10524,2016-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.1,Female
10736,2016-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.0,Male
10740,2016-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.0,Female
10744,2016-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,74.0,Male
10748,2016-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.0,Female
10960,2016-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.2,Male
10964,2016-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.9,Female
10968,2016-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.8,Male
10972,2016-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.1,Female
11184,2017-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.2,Male
11188,2017-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.9,Female
11192,2017-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.8,Male
11196,2017-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.1,Female
11408,2017-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,26.9,Male
11412,2017-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,43.0,Female
11416,2017-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,73.1,Male
11420,2017-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.0,Female
11632,2017-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.1,Male
11636,2017-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.2,Female
11640,2017-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.9,Male
11644,2017-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.8,Female
11856,2017-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.3,Male
11860,2017-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.0,Female
11864,2017-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.7,Male
11868,2017-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.0,Female
12080,2018-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.6,Male
12084,2018-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.4,Female
12088,2018-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.4,Male
12092,2018-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.6,Female
12304,2018-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.8,Male
12308,2018-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.0,Female
12312,2018-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.2,Male
12316,2018-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.0,Female
12528,2018-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.5,Male
12532,2018-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.3,Female
12536,2018-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.5,Male
12540,2018-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.7,Female
12752,2018-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.5,Male
12756,2018-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.7,Female
12760,2018-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.5,Male
12764,2018-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.3,Female
12976,2019-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.6,Male
12980,2019-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.3,Female
12984,2019-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.4,Male
12988,2019-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.7,Female
13200,2019-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.5,Male
13204,2019-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.3,Female
13208,2019-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.5,Male
13212,2019-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.7,Female
13424,2019-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.4,Male
13428,2019-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,39.6,Female
13432,2019-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.6,Male
13436,2019-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,60.4,Female
13648,2019-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.4,Male
13652,2019-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,38.3,Female
13656,2019-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.6,Male
13660,2019-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,61.7,Female
13872,2020-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.2,Male
13876,2020-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,39.3,Female
13880,2020-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.8,Male
13884,2020-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,60.7,Female
14096,2020-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.5,Male
14100,2020-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,40.3,Female
14104,2020-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.5,Male
14108,2020-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,59.7,Female
14320,2020-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.2,Male
14324,2020-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,41.8,Female
14328,2020-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.8,Male
14332,2020-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,58.2,Female
14544,2020-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.8,Male
14548,2020-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.5,Female
14552,2020-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.2,Male
14556,2020-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.5,Female
14768,2021-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,32.9,Male
14772,2021-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,42.1,Female
14776,2021-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,67.1,Male
14780,2021-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.9,Female
14992,2021-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,31.4,Male
14996,2021-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,39.6,Female
15000,2021-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,68.6,Male
15004,2021-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,60.4,Female
15216,2021-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.9,Male
15220,2021-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,36.9,Female
15224,2021-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.1,Male
15228,2021-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,63.1,Female
15440,2021-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.0,Male
15444,2021-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,38.1,Female
15448,2021-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.0,Male
15452,2021-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,61.9,Female
15664,2022-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.5,Male
15668,2022-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,36.7,Female
15672,2022-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.5,Male
15676,2022-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,63.3,Female
15888,2022-06,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,30.3,Male
15892,2022-06,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,37.3,Female
15896,2022-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,69.7,Male
15900,2022-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,62.7,Female
16112,2022-09,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,29.4,Male
16116,2022-09,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,38.5,Female
16120,2022-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,70.6,Male
16124,2022-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,61.5,Female
16336,2022-12,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,28.1,Male
16340,2022-12,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,37.4,Female
16344,2022-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,71.9,Male
16348,2022-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,62.6,Female
16560,2023-03,Northern Ireland,% of  males who are economically inactive - aged 50-64,Variable,27.5,Male
16564,2023-03,Northern Ireland,% of females who are economically inactive - aged 50-64,Variable,38.7,Female
16568,2023-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,72.5,Male
16572,2023-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,61.3,Female
