,DATE,Location,var,type,obs
1548,2015-09,Northern Ireland,Inactivity Rate,Variable,0.72
1576,2015-09,Northern Ireland,Inactivity Rate,Variable,0.72
1584,2015-12,Northern Ireland,Inactivity Rate,Variable,0.73
1612,2015-12,Northern Ireland,Inactivity Rate,Variable,0.73
1620,2016-03,Northern Ireland,Inactivity Rate,Variable,0.73
1648,2016-03,Northern Ireland,Inactivity Rate,Variable,0.73
1656,2016-06,Northern Ireland,Inactivity Rate,Variable,0.73
1684,2016-06,Northern Ireland,Inactivity Rate,Variable,0.73
1692,2016-09,Northern Ireland,Inactivity Rate,Variable,0.74
1720,2016-09,Northern Ireland,Inactivity Rate,Variable,0.74
1728,2016-12,Northern Ireland,Inactivity Rate,Variable,0.74
1756,2016-12,Northern Ireland,Inactivity Rate,Variable,0.74
1764,2017-03,Northern Ireland,Inactivity Rate,Variable,0.73
1792,2017-03,Northern Ireland,Inactivity Rate,Variable,0.73
1800,2017-06,Northern Ireland,Inactivity Rate,Variable,0.74
1828,2017-06,Northern Ireland,Inactivity Rate,Variable,0.74
1836,2017-09,Northern Ireland,Inactivity Rate,Variable,0.73
1864,2017-09,Northern Ireland,Inactivity Rate,Variable,0.73
1872,2017-12,Northern Ireland,Inactivity Rate,Variable,0.72
1900,2017-12,Northern Ireland,Inactivity Rate,Variable,0.72
1908,2018-03,Northern Ireland,Inactivity Rate,Variable,0.72
1936,2018-03,Northern Ireland,Inactivity Rate,Variable,0.72
1944,2018-06,Northern Ireland,Inactivity Rate,Variable,0.72
1972,2018-06,Northern Ireland,Inactivity Rate,Variable,0.72
1980,2018-09,Northern Ireland,Inactivity Rate,Variable,0.73
2008,2018-09,Northern Ireland,Inactivity Rate,Variable,0.73
2016,2018-12,Northern Ireland,Inactivity Rate,Variable,0.73
2044,2018-12,Northern Ireland,Inactivity Rate,Variable,0.73
2052,2019-03,Northern Ireland,Inactivity Rate,Variable,0.73
2080,2019-03,Northern Ireland,Inactivity Rate,Variable,0.73
2088,2019-06,Northern Ireland,Inactivity Rate,Variable,0.74
2116,2019-06,Northern Ireland,Inactivity Rate,Variable,0.74
2124,2019-09,Northern Ireland,Inactivity Rate,Variable,0.74
2152,2019-09,Northern Ireland,Inactivity Rate,Variable,0.74
2160,2019-12,Northern Ireland,Inactivity Rate,Variable,0.74
2188,2019-12,Northern Ireland,Inactivity Rate,Variable,0.74
2196,2020-03,Northern Ireland,Inactivity Rate,Variable,0.74
2224,2020-03,Northern Ireland,Inactivity Rate,Variable,0.74
2232,2020-06,Northern Ireland,Inactivity Rate,Variable,0.74
2260,2020-06,Northern Ireland,Inactivity Rate,Variable,0.74
2268,2020-09,Northern Ireland,Inactivity Rate,Variable,0.73
2296,2020-09,Northern Ireland,Inactivity Rate,Variable,0.73
2304,2020-12,Northern Ireland,Inactivity Rate,Variable,0.72
2332,2020-12,Northern Ireland,Inactivity Rate,Variable,0.72
2340,2021-03,Northern Ireland,Inactivity Rate,Variable,0.71
2368,2021-03,Northern Ireland,Inactivity Rate,Variable,0.71
2376,2021-06,Northern Ireland,Inactivity Rate,Variable,0.72
2404,2021-06,Northern Ireland,Inactivity Rate,Variable,0.72
2412,2021-09,Northern Ireland,Inactivity Rate,Variable,0.73
2440,2021-09,Northern Ireland,Inactivity Rate,Variable,0.73
2448,2021-12,Northern Ireland,Inactivity Rate,Variable,0.73
2476,2021-12,Northern Ireland,Inactivity Rate,Variable,0.73
2484,2022-03,Northern Ireland,Inactivity Rate,Variable,0.74
2512,2022-03,Northern Ireland,Inactivity Rate,Variable,0.74
2520,2022-06,Northern Ireland,Inactivity Rate,Variable,0.73
2548,2022-06,Northern Ireland,Inactivity Rate,Variable,0.73
2556,2022-09,Northern Ireland,Inactivity Rate,Variable,0.73
2584,2022-09,Northern Ireland,Inactivity Rate,Variable,0.73
2592,2022-12,Northern Ireland,Inactivity Rate,Variable,0.74
2620,2022-12,Northern Ireland,Inactivity Rate,Variable,0.74
2628,2023-03,Northern Ireland,Inactivity Rate,Variable,0.74
2656,2023-03,Northern Ireland,Inactivity Rate,Variable,0.74
