,DATE,Location,var,type,obs
1540,2015-06,Northern Ireland,Inactivity Rate,Variable,0.27
1548,2015-09,Northern Ireland,Inactivity Rate,Variable,0.28
1576,2015-09,Northern Ireland,Inactivity Rate,Variable,0.28
1584,2015-12,Northern Ireland,Inactivity Rate,Variable,0.27
1612,2015-12,Northern Ireland,Inactivity Rate,Variable,0.27
1620,2016-03,Northern Ireland,Inactivity Rate,Variable,0.27
1648,2016-03,Northern Ireland,Inactivity Rate,Variable,0.27
1656,2016-06,Northern Ireland,Inactivity Rate,Variable,0.27
1684,2016-06,Northern Ireland,Inactivity Rate,Variable,0.27
1692,2016-09,Northern Ireland,Inactivity Rate,Variable,0.26
1720,2016-09,Northern Ireland,Inactivity Rate,Variable,0.26
1728,2016-12,Northern Ireland,Inactivity Rate,Variable,0.26
1756,2016-12,Northern Ireland,Inactivity Rate,Variable,0.26
1764,2017-03,Northern Ireland,Inactivity Rate,Variable,0.27
1792,2017-03,Northern Ireland,Inactivity Rate,Variable,0.27
1800,2017-06,Northern Ireland,Inactivity Rate,Variable,0.26
1828,2017-06,Northern Ireland,Inactivity Rate,Variable,0.26
1836,2017-09,Northern Ireland,Inactivity Rate,Variable,0.27
1864,2017-09,Northern Ireland,Inactivity Rate,Variable,0.27
1872,2017-12,Northern Ireland,Inactivity Rate,Variable,0.28
1900,2017-12,Northern Ireland,Inactivity Rate,Variable,0.28
1908,2018-03,Northern Ireland,Inactivity Rate,Variable,0.28
1936,2018-03,Northern Ireland,Inactivity Rate,Variable,0.28
1944,2018-06,Northern Ireland,Inactivity Rate,Variable,0.28
1972,2018-06,Northern Ireland,Inactivity Rate,Variable,0.28
1980,2018-09,Northern Ireland,Inactivity Rate,Variable,0.27
2008,2018-09,Northern Ireland,Inactivity Rate,Variable,0.27
2016,2018-12,Northern Ireland,Inactivity Rate,Variable,0.27
2044,2018-12,Northern Ireland,Inactivity Rate,Variable,0.27
2052,2019-03,Northern Ireland,Inactivity Rate,Variable,0.27
2080,2019-03,Northern Ireland,Inactivity Rate,Variable,0.27
2088,2019-06,Northern Ireland,Inactivity Rate,Variable,0.26
2116,2019-06,Northern Ireland,Inactivity Rate,Variable,0.26
2124,2019-09,Northern Ireland,Inactivity Rate,Variable,0.26
2152,2019-09,Northern Ireland,Inactivity Rate,Variable,0.26
2160,2019-12,Northern Ireland,Inactivity Rate,Variable,0.26
2188,2019-12,Northern Ireland,Inactivity Rate,Variable,0.26
2196,2020-03,Northern Ireland,Inactivity Rate,Variable,0.26
2224,2020-03,Northern Ireland,Inactivity Rate,Variable,0.26
2232,2020-06,Northern Ireland,Inactivity Rate,Variable,0.26
2260,2020-06,Northern Ireland,Inactivity Rate,Variable,0.26
2268,2020-09,Northern Ireland,Inactivity Rate,Variable,0.27
2296,2020-09,Northern Ireland,Inactivity Rate,Variable,0.27
2304,2020-12,Northern Ireland,Inactivity Rate,Variable,0.28
2332,2020-12,Northern Ireland,Inactivity Rate,Variable,0.28
2340,2021-03,Northern Ireland,Inactivity Rate,Variable,0.29
2368,2021-03,Northern Ireland,Inactivity Rate,Variable,0.29
2376,2021-06,Northern Ireland,Inactivity Rate,Variable,0.28
2404,2021-06,Northern Ireland,Inactivity Rate,Variable,0.28
2412,2021-09,Northern Ireland,Inactivity Rate,Variable,0.27
2440,2021-09,Northern Ireland,Inactivity Rate,Variable,0.27
2448,2021-12,Northern Ireland,Inactivity Rate,Variable,0.27
2476,2021-12,Northern Ireland,Inactivity Rate,Variable,0.27
2484,2022-03,Northern Ireland,Inactivity Rate,Variable,0.26
2512,2022-03,Northern Ireland,Inactivity Rate,Variable,0.26
2520,2022-06,Northern Ireland,Inactivity Rate,Variable,0.27
2548,2022-06,Northern Ireland,Inactivity Rate,Variable,0.27
2556,2022-09,Northern Ireland,Inactivity Rate,Variable,0.27
2584,2022-09,Northern Ireland,Inactivity Rate,Variable,0.27
2592,2022-12,Northern Ireland,Inactivity Rate,Variable,0.26
2620,2022-12,Northern Ireland,Inactivity Rate,Variable,0.26
2628,2023-03,Northern Ireland,Inactivity Rate,Variable,0.26
2656,2023-03,Northern Ireland,Inactivity Rate,Variable,0.26
