,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender,obvs_dis
9384,2015-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
9388,2015-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
9608,2015-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
9612,2015-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
9832,2015-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
9836,2015-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
10056,2015-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
10060,2015-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
10280,2016-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
10284,2016-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female,0.35
10504,2016-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male,0.22
10508,2016-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
10728,2016-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male,0.22
10732,2016-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female,0.35
10952,2016-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male,0.22
10956,2016-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female,0.35
11176,2017-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
11180,2017-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
11400,2017-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
11404,2017-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
11624,2017-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
11628,2017-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
11848,2017-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
11852,2017-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
12072,2018-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.22,Male,0.22
12076,2018-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
12296,2018-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
12300,2018-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
12520,2018-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
12524,2018-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
12744,2018-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
12748,2018-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
12968,2019-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
12972,2019-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
13192,2019-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
13196,2019-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
13416,2019-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
13420,2019-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
13640,2019-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
13644,2019-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
13864,2020-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.23,Male,0.23
13868,2020-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
14088,2020-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
14092,2020-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.31,Female,0.31
14312,2020-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
14316,2020-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.32,Female,0.32
14536,2020-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
14540,2020-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
14760,2021-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
14764,2021-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
14984,2021-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
14988,2021-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
15208,2021-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
15212,2021-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
15432,2021-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
15436,2021-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
15656,2022-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
15660,2022-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
15880,2022-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
15884,2022-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
16104,2022-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
16108,2022-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
16328,2022-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
16332,2022-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.34,Female,0.34
16552,2023-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
16556,2023-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.33,Female,0.33
