,Date,Variable,Value,Gender,Val2
1868,2007-06,Ages 50-64,0.332,All,33.2
1872,2007-06,Ages 65+,0.9309999999999999,All,93.1
1876,2007-06,Ages 16-24,0.326,All,32.6
2040,2007-09,Ages 25-34,0.159,All,15.9
2044,2007-09,Ages 35-49,0.149,All,14.9
2048,2007-09,Ages 50-64,0.331,All,33.1
2052,2007-09,Ages 65+,0.932,All,93.2
2056,2007-09,Ages 16-24,0.336,All,33.6
2220,2007-12,Ages 25-34,0.16,All,16.0
2224,2007-12,Ages 35-49,0.15,All,15.0
2228,2007-12,Ages 50-64,0.331,All,33.1
2232,2007-12,Ages 65+,0.93,All,93.0
2236,2007-12,Ages 16-24,0.336,All,33.6
2400,2008-03,Ages 25-34,0.159,All,15.9
2404,2008-03,Ages 35-49,0.14800000000000002,All,14.8
2408,2008-03,Ages 50-64,0.32899999999999996,All,32.9
2412,2008-03,Ages 65+,0.929,All,92.9
2416,2008-03,Ages 16-24,0.337,All,33.7
2580,2008-06,Ages 25-34,0.158,All,15.8
2584,2008-06,Ages 35-49,0.14800000000000002,All,14.8
2588,2008-06,Ages 50-64,0.32899999999999996,All,32.9
2592,2008-06,Ages 65+,0.9279999999999999,All,92.8
2596,2008-06,Ages 16-24,0.33799999999999997,All,33.8
2760,2008-09,Ages 25-34,0.157,All,15.7
2764,2008-09,Ages 35-49,0.14800000000000002,All,14.8
2768,2008-09,Ages 50-64,0.32799999999999996,All,32.8
2772,2008-09,Ages 65+,0.927,All,92.7
2776,2008-09,Ages 16-24,0.33899999999999997,All,33.9
2940,2008-12,Ages 25-34,0.157,All,15.7
2944,2008-12,Ages 35-49,0.147,All,14.7
2948,2008-12,Ages 50-64,0.32799999999999996,All,32.8
2952,2008-12,Ages 65+,0.9259999999999999,All,92.6
2956,2008-12,Ages 16-24,0.342,All,34.2
3120,2009-03,Ages 25-34,0.157,All,15.7
3124,2009-03,Ages 35-49,0.146,All,14.6
3128,2009-03,Ages 50-64,0.327,All,32.7
3132,2009-03,Ages 65+,0.9259999999999999,All,92.6
3136,2009-03,Ages 16-24,0.342,All,34.2
3300,2009-06,Ages 25-34,0.157,All,15.7
3304,2009-06,Ages 35-49,0.145,All,14.5
3308,2009-06,Ages 50-64,0.325,All,32.5
3312,2009-06,Ages 65+,0.925,All,92.5
3316,2009-06,Ages 16-24,0.34700000000000003,All,34.7
3480,2009-09,Ages 25-34,0.158,All,15.8
3484,2009-09,Ages 35-49,0.14400000000000002,All,14.4
3488,2009-09,Ages 50-64,0.324,All,32.4
3492,2009-09,Ages 65+,0.924,All,92.4
3496,2009-09,Ages 16-24,0.35,All,35.0
3660,2009-12,Ages 25-34,0.158,All,15.8
3664,2009-12,Ages 35-49,0.14300000000000002,All,14.3
3668,2009-12,Ages 50-64,0.324,All,32.4
3672,2009-12,Ages 65+,0.922,All,92.2
3676,2009-12,Ages 16-24,0.355,All,35.5
3840,2010-03,Ages 25-34,0.159,All,15.9
3844,2010-03,Ages 35-49,0.14400000000000002,All,14.4
3848,2010-03,Ages 50-64,0.324,All,32.4
3852,2010-03,Ages 65+,0.9209999999999999,All,92.1
3856,2010-03,Ages 16-24,0.36700000000000005,All,36.7
4020,2010-06,Ages 25-34,0.159,All,15.9
4024,2010-06,Ages 35-49,0.145,All,14.5
4028,2010-06,Ages 50-64,0.32299999999999995,All,32.3
4032,2010-06,Ages 65+,0.92,All,92.0
4036,2010-06,Ages 16-24,0.369,All,36.9
4200,2010-09,Ages 25-34,0.158,All,15.8
4204,2010-09,Ages 35-49,0.146,All,14.6
4208,2010-09,Ages 50-64,0.321,All,32.1
4212,2010-09,Ages 65+,0.9179999999999999,All,91.8
4216,2010-09,Ages 16-24,0.376,All,37.6
4380,2010-12,Ages 25-34,0.159,All,15.9
4384,2010-12,Ages 35-49,0.146,All,14.6
4388,2010-12,Ages 50-64,0.322,All,32.2
4392,2010-12,Ages 65+,0.917,All,91.7
4396,2010-12,Ages 16-24,0.379,All,37.9
4560,2011-03,Ages 25-34,0.159,All,15.9
4564,2011-03,Ages 35-49,0.146,All,14.6
4568,2011-03,Ages 50-64,0.32299999999999995,All,32.3
4572,2011-03,Ages 65+,0.915,All,91.5
4576,2011-03,Ages 16-24,0.377,All,37.7
4740,2011-06,Ages 25-34,0.157,All,15.7
4744,2011-06,Ages 35-49,0.146,All,14.6
4748,2011-06,Ages 50-64,0.324,All,32.4
4752,2011-06,Ages 65+,0.915,All,91.5
4756,2011-06,Ages 16-24,0.377,All,37.7
4920,2011-09,Ages 25-34,0.156,All,15.6
4924,2011-09,Ages 35-49,0.14800000000000002,All,14.8
4928,2011-09,Ages 50-64,0.326,All,32.6
4932,2011-09,Ages 65+,0.914,All,91.4
4936,2011-09,Ages 16-24,0.376,All,37.6
5100,2011-12,Ages 25-34,0.155,All,15.5
5104,2011-12,Ages 35-49,0.147,All,14.7
5108,2011-12,Ages 50-64,0.32299999999999995,All,32.3
5112,2011-12,Ages 65+,0.914,All,91.4
5116,2011-12,Ages 16-24,0.374,All,37.4
5280,2012-03,Ages 25-34,0.153,All,15.3
5284,2012-03,Ages 35-49,0.14400000000000002,All,14.4
5288,2012-03,Ages 50-64,0.32,All,32.0
5292,2012-03,Ages 65+,0.9129999999999999,All,91.3
5296,2012-03,Ages 16-24,0.376,All,37.6
5460,2012-06,Ages 25-34,0.155,All,15.5
5464,2012-06,Ages 35-49,0.142,All,14.2
5468,2012-06,Ages 50-64,0.317,All,31.7
5472,2012-06,Ages 65+,0.912,All,91.2
5476,2012-06,Ages 16-24,0.376,All,37.6
5640,2012-09,Ages 25-34,0.154,All,15.4
5644,2012-09,Ages 35-49,0.139,All,13.9
5648,2012-09,Ages 50-64,0.314,All,31.4
5652,2012-09,Ages 65+,0.912,All,91.2
5656,2012-09,Ages 16-24,0.37799999999999995,All,37.8
5820,2012-12,Ages 25-34,0.153,All,15.3
5824,2012-12,Ages 35-49,0.139,All,13.9
5828,2012-12,Ages 50-64,0.311,All,31.1
5832,2012-12,Ages 65+,0.909,All,90.9
5836,2012-12,Ages 16-24,0.376,All,37.6
6000,2013-03,Ages 25-34,0.152,All,15.2
6004,2013-03,Ages 35-49,0.139,All,13.9
6008,2013-03,Ages 50-64,0.307,All,30.7
6012,2013-03,Ages 65+,0.907,All,90.7
6016,2013-03,Ages 16-24,0.37200000000000005,All,37.2
6180,2013-06,Ages 25-34,0.15,All,15.0
6184,2013-06,Ages 35-49,0.138,All,13.8
6188,2013-06,Ages 50-64,0.303,All,30.3
6192,2013-06,Ages 65+,0.905,All,90.5
6196,2013-06,Ages 16-24,0.376,All,37.6
6360,2013-09,Ages 25-34,0.15,All,15.0
6364,2013-09,Ages 35-49,0.138,All,13.8
6368,2013-09,Ages 50-64,0.299,All,29.9
6372,2013-09,Ages 65+,0.902,All,90.2
6376,2013-09,Ages 16-24,0.37799999999999995,All,37.8
6540,2013-12,Ages 25-34,0.15,All,15.0
6544,2013-12,Ages 35-49,0.13699999999999998,All,13.7
6548,2013-12,Ages 50-64,0.29600000000000004,All,29.6
6552,2013-12,Ages 65+,0.902,All,90.2
6556,2013-12,Ages 16-24,0.379,All,37.9
6720,2014-03,Ages 25-34,0.149,All,14.9
6724,2014-03,Ages 35-49,0.138,All,13.8
6728,2014-03,Ages 50-64,0.293,All,29.3
6732,2014-03,Ages 65+,0.9,All,90.0
6736,2014-03,Ages 16-24,0.384,All,38.4
6900,2014-06,Ages 25-34,0.149,All,14.9
6904,2014-06,Ages 35-49,0.136,All,13.6
6908,2014-06,Ages 50-64,0.292,All,29.2
6912,2014-06,Ages 65+,0.899,All,89.9
6916,2014-06,Ages 16-24,0.387,All,38.7
7080,2014-09,Ages 25-34,0.149,All,14.9
7084,2014-09,Ages 35-49,0.134,All,13.4
7088,2014-09,Ages 50-64,0.29100000000000004,All,29.1
7092,2014-09,Ages 65+,0.898,All,89.8
7096,2014-09,Ages 16-24,0.38799999999999996,All,38.8
7260,2014-12,Ages 25-34,0.149,All,14.9
7264,2014-12,Ages 35-49,0.134,All,13.4
7268,2014-12,Ages 50-64,0.29,All,29.0
7272,2014-12,Ages 65+,0.898,All,89.8
7276,2014-12,Ages 16-24,0.39,All,39.0
7440,2015-03,Ages 25-34,0.15,All,15.0
7444,2015-03,Ages 35-49,0.134,All,13.4
7448,2015-03,Ages 50-64,0.28800000000000003,All,28.8
7452,2015-03,Ages 65+,0.8959999999999999,All,89.6
7456,2015-03,Ages 16-24,0.386,All,38.6
7620,2015-06,Ages 25-34,0.152,All,15.2
7624,2015-06,Ages 35-49,0.135,All,13.5
7628,2015-06,Ages 50-64,0.285,All,28.5
7632,2015-06,Ages 65+,0.8959999999999999,All,89.6
7636,2015-06,Ages 16-24,0.381,All,38.1
7800,2015-09,Ages 25-34,0.151,All,15.1
7804,2015-09,Ages 35-49,0.135,All,13.5
7808,2015-09,Ages 50-64,0.28300000000000003,All,28.3
7812,2015-09,Ages 65+,0.8959999999999999,All,89.6
7816,2015-09,Ages 16-24,0.37799999999999995,All,37.8
7980,2015-12,Ages 25-34,0.151,All,15.1
7984,2015-12,Ages 35-49,0.135,All,13.5
7988,2015-12,Ages 50-64,0.281,All,28.1
7992,2015-12,Ages 65+,0.895,All,89.5
7996,2015-12,Ages 16-24,0.376,All,37.6
8160,2016-03,Ages 25-34,0.14800000000000002,All,14.8
8164,2016-03,Ages 35-49,0.136,All,13.6
8168,2016-03,Ages 50-64,0.28,All,28.0
8172,2016-03,Ages 65+,0.8959999999999999,All,89.6
8176,2016-03,Ages 16-24,0.376,All,37.6
8340,2016-06,Ages 25-34,0.146,All,14.6
8344,2016-06,Ages 35-49,0.138,All,13.8
8348,2016-06,Ages 50-64,0.278,All,27.8
8352,2016-06,Ages 65+,0.895,All,89.5
8356,2016-06,Ages 16-24,0.375,All,37.5
8520,2016-09,Ages 25-34,0.146,All,14.6
8524,2016-09,Ages 35-49,0.139,All,13.9
8528,2016-09,Ages 50-64,0.276,All,27.6
8532,2016-09,Ages 65+,0.894,All,89.4
8536,2016-09,Ages 16-24,0.381,All,38.1
8700,2016-12,Ages 25-34,0.14400000000000002,All,14.4
8704,2016-12,Ages 35-49,0.13699999999999998,All,13.7
8708,2016-12,Ages 50-64,0.276,All,27.6
8712,2016-12,Ages 65+,0.895,All,89.5
8716,2016-12,Ages 16-24,0.384,All,38.4
8880,2017-03,Ages 25-34,0.14300000000000002,All,14.3
8884,2017-03,Ages 35-49,0.136,All,13.6
8888,2017-03,Ages 50-64,0.275,All,27.5
8892,2017-03,Ages 65+,0.8959999999999999,All,89.6
8896,2017-03,Ages 16-24,0.384,All,38.4
9060,2017-06,Ages 25-34,0.142,All,14.2
9064,2017-06,Ages 35-49,0.133,All,13.3
9068,2017-06,Ages 50-64,0.27399999999999997,All,27.4
9072,2017-06,Ages 65+,0.8959999999999999,All,89.6
9076,2017-06,Ages 16-24,0.389,All,38.9
9240,2017-09,Ages 25-34,0.14,All,14.0
9244,2017-09,Ages 35-49,0.133,All,13.3
9248,2017-09,Ages 50-64,0.272,All,27.2
9252,2017-09,Ages 65+,0.8959999999999999,All,89.6
9256,2017-09,Ages 16-24,0.39,All,39.0
9420,2017-12,Ages 25-34,0.136,All,13.6
9424,2017-12,Ages 35-49,0.132,All,13.2
9428,2017-12,Ages 50-64,0.27,All,27.0
9432,2017-12,Ages 65+,0.8959999999999999,All,89.6
9436,2017-12,Ages 16-24,0.386,All,38.6
9600,2018-03,Ages 25-34,0.13699999999999998,All,13.7
9604,2018-03,Ages 35-49,0.131,All,13.1
9608,2018-03,Ages 50-64,0.268,All,26.8
9612,2018-03,Ages 65+,0.895,All,89.5
9616,2018-03,Ages 16-24,0.387,All,38.7
9780,2018-06,Ages 25-34,0.136,All,13.6
9784,2018-06,Ages 35-49,0.131,All,13.1
9788,2018-06,Ages 50-64,0.26899999999999996,All,26.9
9792,2018-06,Ages 65+,0.895,All,89.5
9796,2018-06,Ages 16-24,0.38799999999999996,All,38.8
9960,2018-09,Ages 25-34,0.136,All,13.6
9964,2018-09,Ages 35-49,0.13,All,13.0
9968,2018-09,Ages 50-64,0.266,All,26.6
9972,2018-09,Ages 65+,0.8959999999999999,All,89.6
9976,2018-09,Ages 16-24,0.392,All,39.2
10140,2018-12,Ages 25-34,0.136,All,13.6
10144,2018-12,Ages 35-49,0.13,All,13.0
10148,2018-12,Ages 50-64,0.265,All,26.5
10152,2018-12,Ages 65+,0.894,All,89.4
10156,2018-12,Ages 16-24,0.39299999999999996,All,39.3
10320,2019-03,Ages 25-34,0.134,All,13.4
10324,2019-03,Ages 35-49,0.128,All,12.8
10328,2019-03,Ages 50-64,0.262,All,26.2
10332,2019-03,Ages 65+,0.894,All,89.4
10336,2019-03,Ages 16-24,0.39,All,39.0
10500,2019-06,Ages 25-34,0.132,All,13.2
10504,2019-06,Ages 35-49,0.128,All,12.8
10508,2019-06,Ages 50-64,0.259,All,25.9
10512,2019-06,Ages 65+,0.892,All,89.2
10516,2019-06,Ages 16-24,0.389,All,38.9
10680,2019-09,Ages 25-34,0.131,All,13.1
10684,2019-09,Ages 35-49,0.13,All,13.0
10688,2019-09,Ages 50-64,0.258,All,25.8
10692,2019-09,Ages 65+,0.8909999999999999,All,89.1
10696,2019-09,Ages 16-24,0.38799999999999996,All,38.8
10860,2019-12,Ages 25-34,0.131,All,13.1
10864,2019-12,Ages 35-49,0.128,All,12.8
10868,2019-12,Ages 50-64,0.257,All,25.7
10872,2019-12,Ages 65+,0.8909999999999999,All,89.1
10876,2019-12,Ages 16-24,0.39,All,39.0
11040,2020-03,Ages 25-34,0.128,All,12.8
11044,2020-03,Ages 35-49,0.126,All,12.6
11048,2020-03,Ages 50-64,0.256,All,25.6
11052,2020-03,Ages 65+,0.888,All,88.8
11056,2020-03,Ages 16-24,0.38799999999999996,All,38.8
11220,2020-06,Ages 25-34,0.126,All,12.6
11224,2020-06,Ages 35-49,0.126,All,12.6
11228,2020-06,Ages 50-64,0.258,All,25.8
11232,2020-06,Ages 65+,0.8909999999999999,All,89.1
11236,2020-06,Ages 16-24,0.387,All,38.7
11400,2020-09,Ages 25-34,0.124,All,12.4
11404,2020-09,Ages 35-49,0.126,All,12.6
11408,2020-09,Ages 50-64,0.261,All,26.1
11412,2020-09,Ages 65+,0.8909999999999999,All,89.1
11416,2020-09,Ages 16-24,0.39399999999999996,All,39.4
11580,2020-12,Ages 25-34,0.12300000000000001,All,12.3
11584,2020-12,Ages 35-49,0.126,All,12.6
11588,2020-12,Ages 50-64,0.26,All,26.0
11592,2020-12,Ages 65+,0.892,All,89.2
11596,2020-12,Ages 16-24,0.395,All,39.5
11760,2021-03,Ages 25-34,0.122,All,12.2
11764,2021-03,Ages 35-49,0.128,All,12.8
11768,2021-03,Ages 50-64,0.263,All,26.3
11772,2021-03,Ages 65+,0.895,All,89.5
11776,2021-03,Ages 16-24,0.406,All,40.6
11940,2021-06,Ages 25-34,0.124,All,12.4
11944,2021-06,Ages 35-49,0.127,All,12.7
11948,2021-06,Ages 50-64,0.264,All,26.4
11952,2021-06,Ages 65+,0.895,All,89.5
11956,2021-06,Ages 16-24,0.419,All,41.9
12120,2021-09,Ages 25-34,0.126,All,12.6
12124,2021-09,Ages 35-49,0.12300000000000001,All,12.3
12128,2021-09,Ages 50-64,0.265,All,26.5
12132,2021-09,Ages 65+,0.895,All,89.5
12136,2021-09,Ages 16-24,0.41700000000000004,All,41.7
12300,2021-12,Ages 25-34,0.126,All,12.6
12304,2021-12,Ages 35-49,0.12300000000000001,All,12.3
12308,2021-12,Ages 50-64,0.26899999999999996,All,26.9
12312,2021-12,Ages 65+,0.8959999999999999,All,89.6
12316,2021-12,Ages 16-24,0.414,All,41.4
12480,2022-03,Ages 25-34,0.126,All,12.6
12484,2022-03,Ages 35-49,0.12300000000000001,All,12.3
12488,2022-03,Ages 50-64,0.27,All,27.0
12492,2022-03,Ages 65+,0.894,All,89.4
12496,2022-03,Ages 16-24,0.406,All,40.6
12660,2022-06,Ages 25-34,0.127,All,12.7
12664,2022-06,Ages 35-49,0.122,All,12.2
12668,2022-06,Ages 50-64,0.271,All,27.1
12672,2022-06,Ages 65+,0.8909999999999999,All,89.1
12676,2022-06,Ages 16-24,0.401,All,40.1
12840,2022-09,Ages 25-34,0.125,All,12.5
12844,2022-09,Ages 35-49,0.12300000000000001,All,12.3
12848,2022-09,Ages 50-64,0.275,All,27.5
12852,2022-09,Ages 65+,0.8909999999999999,All,89.1
12856,2022-09,Ages 16-24,0.402,All,40.2
13020,2022-12,Ages 25-34,0.124,All,12.4
13024,2022-12,Ages 35-49,0.122,All,12.2
13028,2022-12,Ages 50-64,0.275,All,27.5
13032,2022-12,Ages 65+,0.889,All,88.9
13036,2022-12,Ages 16-24,0.401,All,40.1
13200,2023-03,Ages 25-34,0.128,All,12.8
13204,2023-03,Ages 35-49,0.12300000000000001,All,12.3
13208,2023-03,Ages 50-64,0.273,All,27.3
13212,2023-03,Ages 65+,0.887,All,88.7
13216,2023-03,Ages 16-24,0.401,All,40.1
