DATE,obs,var,obs2
2013 NOV,0.216,Inactivity Rate, 21.6 
2013 DEC,0.217,Inactivity Rate, 21.7 
2014 JAN,0.217,Inactivity Rate, 21.7 
2014 FEB,0.216,Inactivity Rate, 21.6 
2014 MAR,0.215,Inactivity Rate, 21.5 
2014 APR,0.213,Inactivity Rate, 21.3 
2014 MAY,0.215,Inactivity Rate, 21.5 
2014 JUN,0.214,Inactivity Rate, 21.4 
2014 JUL,0.216,Inactivity Rate, 21.6 
2014 AUG,0.214,Inactivity Rate, 21.4 
2014 SEP,0.214,Inactivity Rate, 21.4 
2014 OCT,0.214,Inactivity Rate, 21.4 
2014 NOV,0.214,Inactivity Rate, 21.4 
2014 DEC,0.214,Inactivity Rate, 21.4 
2015 JAN,0.209,Inactivity Rate, 20.9 
2015 FEB,0.206,Inactivity Rate, 20.6 
2015 MAR,0.207,Inactivity Rate, 20.7 
2015 APR,0.213,Inactivity Rate, 21.3 
2015 MAY,0.215,Inactivity Rate, 21.5 
2015 JUN,0.213,Inactivity Rate, 21.3 
2015 JUL,0.213,Inactivity Rate, 21.3 
2015 AUG,0.21,Inactivity Rate, 21.0 
2015 SEP,0.211,Inactivity Rate, 21.1 
2015 OCT,0.208,Inactivity Rate, 20.8 
2015 NOV,0.206,Inactivity Rate, 20.6 
2015 DEC,0.208,Inactivity Rate, 20.8 
2016 JAN,0.211,Inactivity Rate, 21.1 
2016 FEB,0.219,Inactivity Rate, 21.9 
2016 MAR,0.222,Inactivity Rate, 22.2 
2016 APR,0.216,Inactivity Rate, 21.6 
2016 MAY,0.219,Inactivity Rate, 21.9 
2016 JUN,0.223,Inactivity Rate, 22.3 
2016 JUL,0.225,Inactivity Rate, 22.5 
2016 AUG,0.227,Inactivity Rate, 22.7 
2016 SEP,0.225,Inactivity Rate, 22.5 
2016 OCT,0.226,Inactivity Rate, 22.6 
2016 NOV,0.223,Inactivity Rate, 22.3 
2016 DEC,0.227,Inactivity Rate, 22.7 
2017 JAN,0.229,Inactivity Rate, 22.9 
2017 FEB,0.224,Inactivity Rate, 22.4 
2017 MAR,0.226,Inactivity Rate, 22.6 
2017 APR,0.229,Inactivity Rate, 22.9 
2017 MAY,0.219,Inactivity Rate, 21.9 
2017 JUN,0.212,Inactivity Rate, 21.2 
2017 JUL,0.215,Inactivity Rate, 21.5 
2017 AUG,0.217,Inactivity Rate, 21.7 
2017 SEP,0.218,Inactivity Rate, 21.8 
2017 OCT,0.217,Inactivity Rate, 21.7 
2017 NOV,0.221,Inactivity Rate, 22.1 
2017 DEC,0.219,Inactivity Rate, 21.9 
2018 JAN,0.217,Inactivity Rate, 21.7 
2018 FEB,0.218,Inactivity Rate, 21.8 
2018 MAR,0.215,Inactivity Rate, 21.5 
2018 APR,0.211,Inactivity Rate, 21.1 
2018 MAY,0.215,Inactivity Rate, 21.5 
2018 JUN,0.217,Inactivity Rate, 21.7 
2018 JUL,0.22,Inactivity Rate, 22.0 
2018 AUG,0.22,Inactivity Rate, 22.0 
2018 SEP,0.22,Inactivity Rate, 22.0 
2018 OCT,0.219,Inactivity Rate, 21.9 
2018 NOV,0.217,Inactivity Rate, 21.7 
2018 DEC,0.22,Inactivity Rate, 22.0 
2019 JAN,0.218,Inactivity Rate, 21.8 
2019 FEB,0.22,Inactivity Rate, 22.0 
2019 MAR,0.215,Inactivity Rate, 21.5 
2019 APR,0.216,Inactivity Rate, 21.6 
2019 MAY,0.216,Inactivity Rate, 21.6 
2019 JUN,0.219,Inactivity Rate, 21.9 
2019 JUL,0.225,Inactivity Rate, 22.5 
2019 AUG,0.224,Inactivity Rate, 22.4 
2019 SEP,0.226,Inactivity Rate, 22.6 
2019 OCT,0.227,Inactivity Rate, 22.7 
2019 NOV,0.222,Inactivity Rate, 22.2 
2019 DEC,0.223,Inactivity Rate, 22.3 
2020 JAN,0.216,Inactivity Rate, 21.6 
2020 FEB,0.223,Inactivity Rate, 22.3 
2020 MAR,0.223,Inactivity Rate, 22.3 
2020 APR,0.228,Inactivity Rate, 22.8 
2020 MAY,0.226,Inactivity Rate, 22.6 
2020 JUN,0.226,Inactivity Rate, 22.6 
2020 JUL,0.224,Inactivity Rate, 22.4 
2020 AUG,0.223,Inactivity Rate, 22.3 
2020 SEP,0.218,Inactivity Rate, 21.8 
2020 OCT,0.221,Inactivity Rate, 22.1 
2020 NOV,0.229,Inactivity Rate, 22.9 
2020 DEC,0.226,Inactivity Rate, 22.6 
2021 JAN,0.219,Inactivity Rate, 21.9 
2021 FEB,0.223,Inactivity Rate, 22.3 
2021 MAR,0.226,Inactivity Rate, 22.6 
2021 APR,0.225,Inactivity Rate, 22.5 
2021 MAY,0.223,Inactivity Rate, 22.3 
2021 JUN,0.224,Inactivity Rate, 22.4 
2021 JUL,0.222,Inactivity Rate, 22.2 
2021 AUG,0.22,Inactivity Rate, 22.0 
2021 SEP,0.222,Inactivity Rate, 22.2 
2021 OCT,0.221,Inactivity Rate, 22.1 
2021 NOV,0.226,Inactivity Rate, 22.6 
2021 DEC,0.224,Inactivity Rate, 22.4 
2022 JAN,0.224,Inactivity Rate, 22.4 
2022 FEB,0.219,Inactivity Rate, 21.9 
2022 MAR,0.219,Inactivity Rate, 21.9 
2022 APR,0.218,Inactivity Rate, 21.8 
2022 MAY,0.22,Inactivity Rate, 22.0 
2022 JUN,0.224,Inactivity Rate, 22.4 
2022 JUL,0.216,Inactivity Rate, 21.6 
2022 AUG,0.219,Inactivity Rate, 21.9 
2022 SEP,0.214,Inactivity Rate, 21.4 
2022 OCT,0.213,Inactivity Rate, 21.3 
2022 NOV,0.208,Inactivity Rate, 20.8 
2022 DEC,0.21,Inactivity Rate, 21.0 
2023 JAN,0.22,Inactivity Rate, 22.0 
2023 FEB,0.222,Inactivity Rate, 22.2 
2023 MAR,0.229,Inactivity Rate, 22.9 
2023 APR,0.223,Inactivity Rate, 22.3 
2023 MAY,0.226,Inactivity Rate, 22.6 
