DATE,obs,var,obs2
2003 DEC,0.3,Inactivity Rate,30.0
2004 JAN,0.298,Inactivity Rate,29.8
2004 FEB,0.308,Inactivity Rate,30.8
2004 MAR,0.308,Inactivity Rate,30.8
2004 APR,0.312,Inactivity Rate,31.2
2004 MAY,0.312,Inactivity Rate,31.2
2004 JUN,0.31,Inactivity Rate,31.0
2004 JUL,0.311,Inactivity Rate,31.1
2004 AUG,0.309,Inactivity Rate,30.9
2004 SEP,0.301,Inactivity Rate,30.1
2004 OCT,0.297,Inactivity Rate,29.7
2004 NOV,0.291,Inactivity Rate,29.1
2004 DEC,0.296,Inactivity Rate,29.6
2005 JAN,0.295,Inactivity Rate,29.5
2005 FEB,0.294,Inactivity Rate,29.4
2005 MAR,0.3,Inactivity Rate,30.0
2005 APR,0.298,Inactivity Rate,29.8
2005 MAY,0.296,Inactivity Rate,29.6
2005 JUN,0.288,Inactivity Rate,28.8
2005 JUL,0.287,Inactivity Rate,28.7
2005 AUG,0.285,Inactivity Rate,28.5
2005 SEP,0.29,Inactivity Rate,29.0
2005 OCT,0.291,Inactivity Rate,29.1
2005 NOV,0.297,Inactivity Rate,29.7
2005 DEC,0.293,Inactivity Rate,29.3
2006 JAN,0.289,Inactivity Rate,28.9
2006 FEB,0.295,Inactivity Rate,29.5
2006 MAR,0.296,Inactivity Rate,29.6
2006 APR,0.294,Inactivity Rate,29.4
2006 MAY,0.288,Inactivity Rate,28.8
2006 JUN,0.284,Inactivity Rate,28.4
2006 JUL,0.285,Inactivity Rate,28.5
2006 AUG,0.291,Inactivity Rate,29.1
2006 SEP,0.293,Inactivity Rate,29.3
2006 OCT,0.291,Inactivity Rate,29.1
2006 NOV,0.289,Inactivity Rate,28.9
2006 DEC,0.286,Inactivity Rate,28.6
2007 JAN,0.286,Inactivity Rate,28.6
2007 FEB,0.283,Inactivity Rate,28.3
2007 MAR,0.276,Inactivity Rate,27.6
2007 APR,0.279,Inactivity Rate,27.9
2007 MAY,0.285,Inactivity Rate,28.5
2007 JUN,0.29,Inactivity Rate,29.0
2007 JUL,0.296,Inactivity Rate,29.6
2007 AUG,0.291,Inactivity Rate,29.1
2007 SEP,0.29,Inactivity Rate,29.0
2007 OCT,0.289,Inactivity Rate,28.9
2007 NOV,0.289,Inactivity Rate,28.9
2007 DEC,0.288,Inactivity Rate,28.8
2008 JAN,0.285,Inactivity Rate,28.5
2008 FEB,0.285,Inactivity Rate,28.5
2008 MAR,0.281,Inactivity Rate,28.1
2008 APR,0.279,Inactivity Rate,27.9
2008 MAY,0.285,Inactivity Rate,28.5
2008 JUN,0.286,Inactivity Rate,28.6
2008 JUL,0.286,Inactivity Rate,28.6
2008 AUG,0.289,Inactivity Rate,28.9
2008 SEP,0.29,Inactivity Rate,29.0
2008 OCT,0.296,Inactivity Rate,29.6
2008 NOV,0.295,Inactivity Rate,29.5
2008 DEC,0.3,Inactivity Rate,30.0
2009 JAN,0.305,Inactivity Rate,30.5
2009 FEB,0.308,Inactivity Rate,30.8
2009 MAR,0.31,Inactivity Rate,31.0
2009 APR,0.318,Inactivity Rate,31.8
2009 MAY,0.315,Inactivity Rate,31.5
2009 JUN,0.313,Inactivity Rate,31.3
2009 JUL,0.311,Inactivity Rate,31.1
2009 AUG,0.306,Inactivity Rate,30.6
2009 SEP,0.302,Inactivity Rate,30.2
2009 OCT,0.297,Inactivity Rate,29.7
2009 NOV,0.301,Inactivity Rate,30.1
2009 DEC,0.3,Inactivity Rate,30.0
2010 JAN,0.291,Inactivity Rate,29.1
2010 FEB,0.292,Inactivity Rate,29.2
2010 MAR,0.287,Inactivity Rate,28.7
2010 APR,0.289,Inactivity Rate,28.9
2010 MAY,0.289,Inactivity Rate,28.9
2010 JUN,0.287,Inactivity Rate,28.7
2010 JUL,0.286,Inactivity Rate,28.6
2010 AUG,0.288,Inactivity Rate,28.8
2010 SEP,0.288,Inactivity Rate,28.8
2010 OCT,0.291,Inactivity Rate,29.1
2010 NOV,0.283,Inactivity Rate,28.3
2010 DEC,0.282,Inactivity Rate,28.2
2011 JAN,0.281,Inactivity Rate,28.1
2011 FEB,0.278,Inactivity Rate,27.8
2011 MAR,0.275,Inactivity Rate,27.5
2011 APR,0.268,Inactivity Rate,26.8
2011 MAY,0.268,Inactivity Rate,26.8
2011 JUN,0.274,Inactivity Rate,27.4
2011 JUL,0.27,Inactivity Rate,27.0
2011 AUG,0.273,Inactivity Rate,27.3
2011 SEP,0.272,Inactivity Rate,27.2
2011 OCT,0.272,Inactivity Rate,27.2
2011 NOV,0.272,Inactivity Rate,27.2
2011 DEC,0.272,Inactivity Rate,27.2
2012 JAN,0.274,Inactivity Rate,27.4
2012 FEB,0.276,Inactivity Rate,27.6
2012 MAR,0.277,Inactivity Rate,27.7
2012 APR,0.274,Inactivity Rate,27.4
2012 MAY,0.273,Inactivity Rate,27.3
2012 JUN,0.27,Inactivity Rate,27.0
2012 JUL,0.272,Inactivity Rate,27.2
2012 AUG,0.27,Inactivity Rate,27.0
2012 SEP,0.269,Inactivity Rate,26.9
2012 OCT,0.27,Inactivity Rate,27.0
2012 NOV,0.272,Inactivity Rate,27.2
2012 DEC,0.275,Inactivity Rate,27.5
2013 JAN,0.279,Inactivity Rate,27.9
2013 FEB,0.277,Inactivity Rate,27.7
2013 MAR,0.272,Inactivity Rate,27.2
2013 APR,0.277,Inactivity Rate,27.7
2013 MAY,0.283,Inactivity Rate,28.3
2013 JUN,0.274,Inactivity Rate,27.4
2013 JUL,0.279,Inactivity Rate,27.9
2013 AUG,0.275,Inactivity Rate,27.5
2013 SEP,0.275,Inactivity Rate,27.5
2013 OCT,0.271,Inactivity Rate,27.1
2013 NOV,0.27,Inactivity Rate,27.0
2013 DEC,0.269,Inactivity Rate,26.9
2014 JAN,0.268,Inactivity Rate,26.8
2014 FEB,0.27,Inactivity Rate,27.0
2014 MAR,0.27,Inactivity Rate,27.0
2014 APR,0.269,Inactivity Rate,26.9
2014 MAY,0.268,Inactivity Rate,26.8
2014 JUN,0.271,Inactivity Rate,27.1
2014 JUL,0.271,Inactivity Rate,27.1
2014 AUG,0.27,Inactivity Rate,27.0
2014 SEP,0.271,Inactivity Rate,27.1
2014 OCT,0.278,Inactivity Rate,27.8
2014 NOV,0.28,Inactivity Rate,28.0
2014 DEC,0.28,Inactivity Rate,28.0
2015 JAN,0.27,Inactivity Rate,27.0
2015 FEB,0.271,Inactivity Rate,27.1
2015 MAR,0.272,Inactivity Rate,27.2
2015 APR,0.277,Inactivity Rate,27.7
2015 MAY,0.274,Inactivity Rate,27.4
2015 JUN,0.275,Inactivity Rate,27.5
2015 JUL,0.276,Inactivity Rate,27.6
2015 AUG,0.276,Inactivity Rate,27.6
2015 SEP,0.269,Inactivity Rate,26.9
2015 OCT,0.266,Inactivity Rate,26.6
2015 NOV,0.269,Inactivity Rate,26.9
2015 DEC,0.266,Inactivity Rate,26.6
2016 JAN,0.264,Inactivity Rate,26.4
2016 FEB,0.261,Inactivity Rate,26.1
2016 MAR,0.259,Inactivity Rate,25.9
2016 APR,0.267,Inactivity Rate,26.7
2016 MAY,0.264,Inactivity Rate,26.4
2016 JUN,0.263,Inactivity Rate,26.3
2016 JUL,0.257,Inactivity Rate,25.7
2016 AUG,0.256,Inactivity Rate,25.6
2016 SEP,0.259,Inactivity Rate,25.9
2016 OCT,0.264,Inactivity Rate,26.4
2016 NOV,0.261,Inactivity Rate,26.1
2016 DEC,0.265,Inactivity Rate,26.5
2017 JAN,0.274,Inactivity Rate,27.4
2017 FEB,0.276,Inactivity Rate,27.6
2017 MAR,0.272,Inactivity Rate,27.2
2017 APR,0.274,Inactivity Rate,27.4
2017 MAY,0.268,Inactivity Rate,26.8
2017 JUN,0.279,Inactivity Rate,27.9
2017 JUL,0.282,Inactivity Rate,28.2
2017 AUG,0.288,Inactivity Rate,28.8
2017 SEP,0.287,Inactivity Rate,28.7
2017 OCT,0.28,Inactivity Rate,28.0
2017 NOV,0.284,Inactivity Rate,28.4
2017 DEC,0.28,Inactivity Rate,28.0
2018 JAN,0.281,Inactivity Rate,28.1
2018 FEB,0.279,Inactivity Rate,27.9
2018 MAR,0.277,Inactivity Rate,27.7
2018 APR,0.274,Inactivity Rate,27.4
2018 MAY,0.276,Inactivity Rate,27.6
2018 JUN,0.271,Inactivity Rate,27.1
2018 JUL,0.272,Inactivity Rate,27.2
2018 AUG,0.277,Inactivity Rate,27.7
2018 SEP,0.278,Inactivity Rate,27.8
2018 OCT,0.275,Inactivity Rate,27.5
2018 NOV,0.268,Inactivity Rate,26.8
2018 DEC,0.264,Inactivity Rate,26.4
2019 JAN,0.266,Inactivity Rate,26.6
2019 FEB,0.265,Inactivity Rate,26.5
2019 MAR,0.264,Inactivity Rate,26.4
2019 APR,0.259,Inactivity Rate,25.9
2019 MAY,0.255,Inactivity Rate,25.5
2019 JUN,0.258,Inactivity Rate,25.8
2019 JUL,0.264,Inactivity Rate,26.4
2019 AUG,0.258,Inactivity Rate,25.8
2019 SEP,0.259,Inactivity Rate,25.9
2019 OCT,0.257,Inactivity Rate,25.7
2019 NOV,0.258,Inactivity Rate,25.8
2019 DEC,0.259,Inactivity Rate,25.9
2020 JAN,0.256,Inactivity Rate,25.6
2020 FEB,0.264,Inactivity Rate,26.4
2020 MAR,0.273,Inactivity Rate,27.3
2020 APR,0.274,Inactivity Rate,27.4
2020 MAY,0.28,Inactivity Rate,28.0
2020 JUN,0.278,Inactivity Rate,27.8
2020 JUL,0.274,Inactivity Rate,27.4
2020 AUG,0.275,Inactivity Rate,27.5
2020 SEP,0.274,Inactivity Rate,27.4
2020 OCT,0.284,Inactivity Rate,28.4
2020 NOV,0.29,Inactivity Rate,29.0
2020 DEC,0.29,Inactivity Rate,29.0
2021 JAN,0.297,Inactivity Rate,29.7
2021 FEB,0.292,Inactivity Rate,29.2
2021 MAR,0.29,Inactivity Rate,29.0
2021 APR,0.296,Inactivity Rate,29.6
2021 MAY,0.281,Inactivity Rate,28.1
2021 JUN,0.279,Inactivity Rate,27.9
2021 JUL,0.277,Inactivity Rate,27.7
2021 AUG,0.287,Inactivity Rate,28.7
2021 SEP,0.287,Inactivity Rate,28.7
2021 OCT,0.294,Inactivity Rate,29.4
2021 NOV,0.289,Inactivity Rate,28.9
2021 DEC,0.289,Inactivity Rate,28.9
2022 JAN,0.284,Inactivity Rate,28.4
2022 FEB,0.275,Inactivity Rate,27.5
2022 MAR,0.278,Inactivity Rate,27.8
2022 APR,0.28,Inactivity Rate,28.0
2022 MAY,0.283,Inactivity Rate,28.3
2022 JUN,0.282,Inactivity Rate,28.2
2022 JUL,0.278,Inactivity Rate,27.8
2022 AUG,0.277,Inactivity Rate,27.7
2022 SEP,0.267,Inactivity Rate,26.7
2022 OCT,0.266,Inactivity Rate,26.6
2022 NOV,0.263,Inactivity Rate,26.3
2022 DEC,0.264,Inactivity Rate,26.4
2023 JAN,0.262,Inactivity Rate,26.2
2023 FEB,0.261,Inactivity Rate,26.1
2023 MAR,0.258,Inactivity Rate,25.8
2023 APR,0.261,Inactivity Rate,26.1
2023 MAY,0.266,Inactivity Rate,26.6
