,DATE2,MEASURES_NAME,Group,obvs,id,type
1405,2022-06,Number of Inactive,Male Inactivity due to illness,4500,2022-06 temp,Male Inactivity due to illness
1409,2022-06,Number of Inactive,Male Inactivity due to illness,54700,2022-06 long-term,Male Inactivity due to illness
1425,2022-09,Number of Inactive,Male Inactivity due to illness,4500,2022-09 temp,Male Inactivity due to illness
1429,2022-09,Number of Inactive,Male Inactivity due to illness,53800,2022-09 long-term,Male Inactivity due to illness
1445,2022-12,Number of Inactive,Male Inactivity due to illness,4600,2022-12 temp,Male Inactivity due to illness
1449,2022-12,Number of Inactive,Male Inactivity due to illness,52100,2022-12 long-term,Male Inactivity due to illness
1465,2023-03,Number of Inactive,Male Inactivity due to illness,4600,2023-03 temp,Male Inactivity due to illness
1469,2023-03,Number of Inactive,Male Inactivity due to illness,50400,2023-03 long-term,Male Inactivity due to illness
13,2004-12,Number of Inactive,Female Inactivity due to illness,2400,2004-12 temp,Female Inactivity due to illness
17,2004-12,Number of Inactive,Female Inactivity due to illness,54800,2004-12 long-term,Female Inactivity due to illness
33,2005-03,Number of Inactive,Female Inactivity due to illness,2700,2005-03 temp,Female Inactivity due to illness
37,2005-03,Number of Inactive,Female Inactivity due to illness,54800,2005-03 long-term,Female Inactivity due to illness
53,2005-06,Number of Inactive,Female Inactivity due to illness,1300,2005-06 temp,Female Inactivity due to illness
57,2005-06,Number of Inactive,Female Inactivity due to illness,55000,2005-06 long-term,Female Inactivity due to illness
73,2005-09,Number of Inactive,Female Inactivity due to illness,1500,2005-09 temp,Female Inactivity due to illness
77,2005-09,Number of Inactive,Female Inactivity due to illness,50900,2005-09 long-term,Female Inactivity due to illness
93,2005-12,Number of Inactive,Female Inactivity due to illness,1600,2005-12 temp,Female Inactivity due to illness
97,2005-12,Number of Inactive,Female Inactivity due to illness,51000,2005-12 long-term,Female Inactivity due to illness
113,2006-03,Number of Inactive,Female Inactivity due to illness,1200,2006-03 temp,Female Inactivity due to illness
117,2006-03,Number of Inactive,Female Inactivity due to illness,49600,2006-03 long-term,Female Inactivity due to illness
133,2006-06,Number of Inactive,Female Inactivity due to illness,1600,2006-06 temp,Female Inactivity due to illness
137,2006-06,Number of Inactive,Female Inactivity due to illness,48800,2006-06 long-term,Female Inactivity due to illness
153,2006-09,Number of Inactive,Female Inactivity due to illness,1600,2006-09 temp,Female Inactivity due to illness
157,2006-09,Number of Inactive,Female Inactivity due to illness,48300,2006-09 long-term,Female Inactivity due to illness
173,2006-12,Number of Inactive,Female Inactivity due to illness,1600,2006-12 temp,Female Inactivity due to illness
177,2006-12,Number of Inactive,Female Inactivity due to illness,47300,2006-12 long-term,Female Inactivity due to illness
193,2007-03,Number of Inactive,Female Inactivity due to illness,2100,2007-03 temp,Female Inactivity due to illness
197,2007-03,Number of Inactive,Female Inactivity due to illness,47600,2007-03 long-term,Female Inactivity due to illness
213,2007-06,Number of Inactive,Female Inactivity due to illness,2600,2007-06 temp,Female Inactivity due to illness
217,2007-06,Number of Inactive,Female Inactivity due to illness,47200,2007-06 long-term,Female Inactivity due to illness
233,2007-09,Number of Inactive,Female Inactivity due to illness,2400,2007-09 temp,Female Inactivity due to illness
237,2007-09,Number of Inactive,Female Inactivity due to illness,45600,2007-09 long-term,Female Inactivity due to illness
253,2007-12,Number of Inactive,Female Inactivity due to illness,2800,2007-12 temp,Female Inactivity due to illness
257,2007-12,Number of Inactive,Female Inactivity due to illness,45100,2007-12 long-term,Female Inactivity due to illness
273,2008-03,Number of Inactive,Female Inactivity due to illness,2400,2008-03 temp,Female Inactivity due to illness
277,2008-03,Number of Inactive,Female Inactivity due to illness,44400,2008-03 long-term,Female Inactivity due to illness
293,2008-06,Number of Inactive,Female Inactivity due to illness,2200,2008-06 temp,Female Inactivity due to illness
297,2008-06,Number of Inactive,Female Inactivity due to illness,44200,2008-06 long-term,Female Inactivity due to illness
313,2008-09,Number of Inactive,Female Inactivity due to illness,3300,2008-09 temp,Female Inactivity due to illness
317,2008-09,Number of Inactive,Female Inactivity due to illness,46700,2008-09 long-term,Female Inactivity due to illness
333,2008-12,Number of Inactive,Female Inactivity due to illness,3500,2008-12 temp,Female Inactivity due to illness
337,2008-12,Number of Inactive,Female Inactivity due to illness,45900,2008-12 long-term,Female Inactivity due to illness
353,2009-03,Number of Inactive,Female Inactivity due to illness,4000,2009-03 temp,Female Inactivity due to illness
357,2009-03,Number of Inactive,Female Inactivity due to illness,47300,2009-03 long-term,Female Inactivity due to illness
373,2009-06,Number of Inactive,Female Inactivity due to illness,3200,2009-06 temp,Female Inactivity due to illness
377,2009-06,Number of Inactive,Female Inactivity due to illness,48400,2009-06 long-term,Female Inactivity due to illness
393,2009-09,Number of Inactive,Female Inactivity due to illness,3200,2009-09 temp,Female Inactivity due to illness
397,2009-09,Number of Inactive,Female Inactivity due to illness,48000,2009-09 long-term,Female Inactivity due to illness
413,2009-12,Number of Inactive,Female Inactivity due to illness,5000,2009-12 temp,Female Inactivity due to illness
417,2009-12,Number of Inactive,Female Inactivity due to illness,48100,2009-12 long-term,Female Inactivity due to illness
433,2010-03,Number of Inactive,Female Inactivity due to illness,4500,2010-03 temp,Female Inactivity due to illness
437,2010-03,Number of Inactive,Female Inactivity due to illness,48300,2010-03 long-term,Female Inactivity due to illness
453,2010-06,Number of Inactive,Female Inactivity due to illness,5000,2010-06 temp,Female Inactivity due to illness
457,2010-06,Number of Inactive,Female Inactivity due to illness,50100,2010-06 long-term,Female Inactivity due to illness
473,2010-09,Number of Inactive,Female Inactivity due to illness,4200,2010-09 temp,Female Inactivity due to illness
477,2010-09,Number of Inactive,Female Inactivity due to illness,48800,2010-09 long-term,Female Inactivity due to illness
493,2010-12,Number of Inactive,Female Inactivity due to illness,3000,2010-12 temp,Female Inactivity due to illness
497,2010-12,Number of Inactive,Female Inactivity due to illness,49400,2010-12 long-term,Female Inactivity due to illness
513,2011-03,Number of Inactive,Female Inactivity due to illness,3000,2011-03 temp,Female Inactivity due to illness
517,2011-03,Number of Inactive,Female Inactivity due to illness,47800,2011-03 long-term,Female Inactivity due to illness
533,2011-06,Number of Inactive,Female Inactivity due to illness,2600,2011-06 temp,Female Inactivity due to illness
537,2011-06,Number of Inactive,Female Inactivity due to illness,45600,2011-06 long-term,Female Inactivity due to illness
553,2011-09,Number of Inactive,Female Inactivity due to illness,2800,2011-09 temp,Female Inactivity due to illness
557,2011-09,Number of Inactive,Female Inactivity due to illness,47600,2011-09 long-term,Female Inactivity due to illness
573,2011-12,Number of Inactive,Female Inactivity due to illness,2800,2011-12 temp,Female Inactivity due to illness
577,2011-12,Number of Inactive,Female Inactivity due to illness,46800,2011-12 long-term,Female Inactivity due to illness
593,2012-03,Number of Inactive,Female Inactivity due to illness,2500,2012-03 temp,Female Inactivity due to illness
597,2012-03,Number of Inactive,Female Inactivity due to illness,41400,2012-03 long-term,Female Inactivity due to illness
613,2012-06,Number of Inactive,Female Inactivity due to illness,2800,2012-06 temp,Female Inactivity due to illness
617,2012-06,Number of Inactive,Female Inactivity due to illness,43500,2012-06 long-term,Female Inactivity due to illness
633,2012-09,Number of Inactive,Female Inactivity due to illness,2900,2012-09 temp,Female Inactivity due to illness
637,2012-09,Number of Inactive,Female Inactivity due to illness,42000,2012-09 long-term,Female Inactivity due to illness
653,2012-12,Number of Inactive,Female Inactivity due to illness,2800,2012-12 temp,Female Inactivity due to illness
657,2012-12,Number of Inactive,Female Inactivity due to illness,39600,2012-12 long-term,Female Inactivity due to illness
673,2013-03,Number of Inactive,Female Inactivity due to illness,3100,2013-03 temp,Female Inactivity due to illness
677,2013-03,Number of Inactive,Female Inactivity due to illness,40100,2013-03 long-term,Female Inactivity due to illness
693,2013-06,Number of Inactive,Female Inactivity due to illness,3200,2013-06 temp,Female Inactivity due to illness
697,2013-06,Number of Inactive,Female Inactivity due to illness,39200,2013-06 long-term,Female Inactivity due to illness
713,2013-09,Number of Inactive,Female Inactivity due to illness,3400,2013-09 temp,Female Inactivity due to illness
717,2013-09,Number of Inactive,Female Inactivity due to illness,37900,2013-09 long-term,Female Inactivity due to illness
733,2013-12,Number of Inactive,Female Inactivity due to illness,2200,2013-12 temp,Female Inactivity due to illness
737,2013-12,Number of Inactive,Female Inactivity due to illness,37800,2013-12 long-term,Female Inactivity due to illness
753,2014-03,Number of Inactive,Female Inactivity due to illness,2500,2014-03 temp,Female Inactivity due to illness
757,2014-03,Number of Inactive,Female Inactivity due to illness,39800,2014-03 long-term,Female Inactivity due to illness
773,2014-06,Number of Inactive,Female Inactivity due to illness,3000,2014-06 temp,Female Inactivity due to illness
777,2014-06,Number of Inactive,Female Inactivity due to illness,41900,2014-06 long-term,Female Inactivity due to illness
793,2014-09,Number of Inactive,Female Inactivity due to illness,2500,2014-09 temp,Female Inactivity due to illness
797,2014-09,Number of Inactive,Female Inactivity due to illness,42600,2014-09 long-term,Female Inactivity due to illness
813,2014-12,Number of Inactive,Female Inactivity due to illness,2900,2014-12 temp,Female Inactivity due to illness
817,2014-12,Number of Inactive,Female Inactivity due to illness,45400,2014-12 long-term,Female Inactivity due to illness
833,2015-03,Number of Inactive,Female Inactivity due to illness,2500,2015-03 temp,Female Inactivity due to illness
837,2015-03,Number of Inactive,Female Inactivity due to illness,48500,2015-03 long-term,Female Inactivity due to illness
853,2015-06,Number of Inactive,Female Inactivity due to illness,1900,2015-06 temp,Female Inactivity due to illness
857,2015-06,Number of Inactive,Female Inactivity due to illness,47600,2015-06 long-term,Female Inactivity due to illness
873,2015-09,Number of Inactive,Female Inactivity due to illness,2000,2015-09 temp,Female Inactivity due to illness
877,2015-09,Number of Inactive,Female Inactivity due to illness,48400,2015-09 long-term,Female Inactivity due to illness
893,2015-12,Number of Inactive,Female Inactivity due to illness,1900,2015-12 temp,Female Inactivity due to illness
897,2015-12,Number of Inactive,Female Inactivity due to illness,50900,2015-12 long-term,Female Inactivity due to illness
913,2016-03,Number of Inactive,Female Inactivity due to illness,2700,2016-03 temp,Female Inactivity due to illness
917,2016-03,Number of Inactive,Female Inactivity due to illness,51500,2016-03 long-term,Female Inactivity due to illness
933,2016-06,Number of Inactive,Female Inactivity due to illness,3500,2016-06 temp,Female Inactivity due to illness
937,2016-06,Number of Inactive,Female Inactivity due to illness,48900,2016-06 long-term,Female Inactivity due to illness
953,2016-09,Number of Inactive,Female Inactivity due to illness,3500,2016-09 temp,Female Inactivity due to illness
957,2016-09,Number of Inactive,Female Inactivity due to illness,49800,2016-09 long-term,Female Inactivity due to illness
973,2016-12,Number of Inactive,Female Inactivity due to illness,3500,2016-12 temp,Female Inactivity due to illness
977,2016-12,Number of Inactive,Female Inactivity due to illness,49200,2016-12 long-term,Female Inactivity due to illness
993,2017-03,Number of Inactive,Female Inactivity due to illness,3300,2017-03 temp,Female Inactivity due to illness
997,2017-03,Number of Inactive,Female Inactivity due to illness,49200,2017-03 long-term,Female Inactivity due to illness
1013,2017-06,Number of Inactive,Female Inactivity due to illness,2000,2017-06 temp,Female Inactivity due to illness
1017,2017-06,Number of Inactive,Female Inactivity due to illness,49800,2017-06 long-term,Female Inactivity due to illness
1033,2017-09,Number of Inactive,Female Inactivity due to illness,2900,2017-09 temp,Female Inactivity due to illness
1037,2017-09,Number of Inactive,Female Inactivity due to illness,47400,2017-09 long-term,Female Inactivity due to illness
1053,2017-12,Number of Inactive,Female Inactivity due to illness,2800,2017-12 temp,Female Inactivity due to illness
1057,2017-12,Number of Inactive,Female Inactivity due to illness,47700,2017-12 long-term,Female Inactivity due to illness
1073,2018-03,Number of Inactive,Female Inactivity due to illness,3100,2018-03 temp,Female Inactivity due to illness
1077,2018-03,Number of Inactive,Female Inactivity due to illness,47500,2018-03 long-term,Female Inactivity due to illness
1093,2018-06,Number of Inactive,Female Inactivity due to illness,3200,2018-06 temp,Female Inactivity due to illness
1097,2018-06,Number of Inactive,Female Inactivity due to illness,47200,2018-06 long-term,Female Inactivity due to illness
1113,2018-09,Number of Inactive,Female Inactivity due to illness,3200,2018-09 temp,Female Inactivity due to illness
1117,2018-09,Number of Inactive,Female Inactivity due to illness,44700,2018-09 long-term,Female Inactivity due to illness
1133,2018-12,Number of Inactive,Female Inactivity due to illness,3300,2018-12 temp,Female Inactivity due to illness
1137,2018-12,Number of Inactive,Female Inactivity due to illness,44300,2018-12 long-term,Female Inactivity due to illness
1153,2019-03,Number of Inactive,Female Inactivity due to illness,4000,2019-03 temp,Female Inactivity due to illness
1157,2019-03,Number of Inactive,Female Inactivity due to illness,42300,2019-03 long-term,Female Inactivity due to illness
1173,2019-06,Number of Inactive,Female Inactivity due to illness,3700,2019-06 temp,Female Inactivity due to illness
1177,2019-06,Number of Inactive,Female Inactivity due to illness,41400,2019-06 long-term,Female Inactivity due to illness
1193,2019-09,Number of Inactive,Female Inactivity due to illness,3400,2019-09 temp,Female Inactivity due to illness
1197,2019-09,Number of Inactive,Female Inactivity due to illness,45200,2019-09 long-term,Female Inactivity due to illness
1213,2019-12,Number of Inactive,Female Inactivity due to illness,3100,2019-12 temp,Female Inactivity due to illness
1217,2019-12,Number of Inactive,Female Inactivity due to illness,45700,2019-12 long-term,Female Inactivity due to illness
1233,2020-03,Number of Inactive,Female Inactivity due to illness,3100,2020-03 temp,Female Inactivity due to illness
1237,2020-03,Number of Inactive,Female Inactivity due to illness,48300,2020-03 long-term,Female Inactivity due to illness
1253,2020-06,Number of Inactive,Female Inactivity due to illness,3200,2020-06 temp,Female Inactivity due to illness
1257,2020-06,Number of Inactive,Female Inactivity due to illness,52400,2020-06 long-term,Female Inactivity due to illness
